	Log2(FC)	Log10(Adj. P-value)
Gm21013	-1.181164	0.289564
Cdk9	0.304899	0.289536
Xpo4	0.35173	0.289456
Dnajc2	0.231324	0.289456
Pvrl3	0.16739	0.289456
Ifitm2	-0.290336	0.289456
Riok2	0.298234	0.289455
Wsb1	0.269022	0.289091
Ubap1	0.186996	0.288048
Akap7	-0.169631	0.288048
Trpc4	-0.750206	0.288048
1700013F07Rik	-1.59393	0.288048
Tspyl4	0.600335	0.288027
Gpn1	-0.29433	0.288027
2210404O09Rik	-0.370089	0.288027
Kif23	-0.246315	0.288008
Ddx50	0.273621	0.287813
Rhpn2	0.18641	0.287813
Rab6a	0.143813	0.287813
Mcoln2	-0.302822	0.287813
Ms4a7	0.296033	0.287797
Tceanc	-0.520346	0.287314
E430024P14Rik	-0.935608	0.287314
Ank2	-0.264677	0.287164
Gnaz	-0.431624	0.287164
Parp16	-0.360798	0.28716
Zc3h12c	0.793307	0.287119
2010107G12Rik	-1.035392	0.287119
Wdfy2	-1.497467	0.287119
Pacsin1	-0.832957	0.28681
Atat1	-0.297192	0.28677
Ipo9	-0.234275	0.286594
Chmp4c	0.189721	0.286584
Setd5	0.169011	0.286461
Sprr2a2	-1.584842	0.286461
Scgb1a1	-1.783901	0.286461
Gprc5a	0.408676	0.28643
Cbln3	-0.735589	0.285817
Rad23b	0.145302	0.285641
Rab20	0.273166	0.285145
Thada	-0.429139	0.285145
Ltb4r2	1.190022	0.283881
B430219N15Rik	1.05572	0.283881
Irf8	0.226023	0.283881
Supt7l	-0.293049	0.283881
Btbd6	-0.39173	0.283881
Gpr17	-0.973873	0.283881
Gm20492	1.090231	0.283668
Tcrg-V1	-1.379111	0.283648
Golt1a	0.35276	0.28334
Zfp839	-0.357579	0.283322
Ankzf1	-0.280282	0.283143
Ndufa3	-0.17474	0.283142
Slc25a12	-0.246631	0.283142
Prdm15	-0.330199	0.283142
Fiz1	-0.404601	0.283142
Oprl1	-1.183144	0.283142
Nrxn3	0.758314	0.282544
Stab1	0.386866	0.282544
Med23	-0.243317	0.282544
Tcn2	-0.281946	0.282544
Ssbp1	0.564469	0.282078
5830428H23Rik	-0.166615	0.282078
Mlycd	-0.204638	0.282078
Mycn	0.770963	0.281864
Fhit	-0.65923	0.281788
Sorbs3	0.838229	0.281708
Brd1	0.185134	0.281708
Impa2	-0.299598	0.281702
Cntrob	0.764289	0.281638
4632427E13Rik	0.190844	0.281638
Tmc6	-0.271589	0.281638
2210017G18Rik	-0.379951	0.281638
Duoxa2	-0.530065	0.281638
Mtg1	0.250739	0.281607
Dbh	-0.617387	0.281607
Adora2a	-0.659142	0.281607
Atp6v1d	0.179112	0.28123
Ap5z1	-0.332543	0.281201
Ankrd13c	-0.390971	0.281146
Slc22a17	-0.410023	0.281108
Socs3	0.607529	0.281022
H2-Q4	0.597931	0.281022
Zdhhc8	0.568984	0.281022
Micall2	0.405388	0.281022
Taf2	0.370535	0.281022
Dok4	0.197435	0.281022
Glrb	-0.658416	0.281022
Dcaf12l2	-1.586612	0.281022
Elmsan1	0.30055	0.280916
Dbp	-0.264403	0.280522
Gm13205	-0.988528	0.280522
Trp53inp1	-0.195196	0.280297
Nsg1	-0.316031	0.280063
Pck1	0.500108	0.279855
Adck4	-0.344588	0.279855
Mrpl22	-0.496877	0.279855
Ptprt	-0.543582	0.279855
Zbtb2	0.258356	0.279561
Wipf1	0.253883	0.279561
Sdc2	0.215956	0.279561
Ssbp2	-0.235832	0.279561
Vps9d1	-0.280635	0.279561
1700040L02Rik	-0.440903	0.279561
Smoc2	0.272701	0.279145
1700029I15Rik	-0.902622	0.279145
Slamf6	-0.917745	0.279145
RP24-288J3.2	-1.971719	0.279145
Vstm5	0.438326	0.27908
Elf3	0.313097	0.27908
Klhl7	0.303079	0.27908
Nf1	0.264109	0.27908
Spg21	-0.255768	0.27908
Polrmt	-0.334218	0.27908
Fam111a	0.350755	0.278991
Tmem203	0.255541	0.278941
Foxo3	-0.204534	0.277659
1600010M07Rik	1.252659	0.277648
Rhbdl3	-0.415612	0.277648
Ppm1j	-0.630061	0.277648
Stfa2	1.643371	0.276536
Usb1	0.370942	0.276536
Akirin1	0.295846	0.276536
Cbx4	0.253939	0.276536
Zfp91	0.163493	0.276536
Clint1	0.162274	0.276536
Ankrd17	0.11486	0.276536
Anapc13	-0.137051	0.276536
Cdh13	-0.225824	0.276536
Pik3r4	-0.22669	0.276536
2510009E07Rik	-0.248427	0.276536
Gm2a	-0.249834	0.276536
Tacc3	-0.322017	0.276536
Ssna1	-0.331249	0.276536
Nxpe2	-0.353901	0.276536
Apbb1	-0.443157	0.276536
Gm14964	-0.533469	0.276536
Tmod1	-0.53512	0.276536
Zfp691	-0.560301	0.276536
Fignl1	-0.658034	0.276536
Etaa1os	-0.802188	0.276536
Capn11	-1.948084	0.276536
Dock9	0.344412	0.276454
Slco2b1	-0.241603	0.276454
Dusp4	0.914656	0.275989
Ccr9	0.983538	0.275679
Cnn1	-0.224924	0.275679
RP23-82P18.3	1.252109	0.275566
Adpgk	0.53818	0.275566
Mex3a	0.450825	0.275566
Sptssb	0.227281	0.275566
Erbb2	-0.177286	0.275566
Cyb5r3	-0.252454	0.275566
Ogfod1	-0.276814	0.275566
Gm26823	-1.989276	0.275566
Trpm2	0.494759	0.274887
Numb	0.274825	0.274715
Ctsc	0.203964	0.274495
Ccdc88c	0.598427	0.274082
Trim7	-0.402178	0.274082
Zfp612	0.429632	0.273928
Pvrl2	0.158186	0.273928
Cox20	0.169091	0.273767
Srsf6	-0.150596	0.273767
2310043O21Rik	-0.73842	0.273767
RP23-335C3.7	1.545855	0.273583
Lin7a	0.596909	0.273583
Zbed3	0.501987	0.273583
Plagl2	0.277897	0.273583
Atad1	0.260737	0.273583
Plxna2	0.245811	0.273583
Nr1h4	0.218289	0.273583
Abhd13	0.15901	0.273583
Bmpr1a	0.156654	0.273583
Gsk3a	-0.220354	0.273583
Spen	-0.220612	0.273583
Atg13	-0.227679	0.273583
Rfc2	-0.259228	0.273583
Med16	-0.265042	0.273583
Tmem131	-0.26553	0.273583
Xkr6	-0.324216	0.273583
Gap43	-0.377736	0.273583
Tox2	-0.400255	0.273583
Bmp8a	-0.405505	0.273583
Fam69b	-0.463979	0.273583
Gm10617	-0.888062	0.273583
Sephs2	0.697784	0.273345
Cntn3	0.626655	0.273125
Abcd3	0.210443	0.273125
Uqcc3	-0.21535	0.273125
Zeb1	-0.244596	0.273125
Dym	-0.266	0.273125
Brinp1	-1.041852	0.273125
Rps12l2	1.127208	0.272983
Srsf4	0.28609	0.272983
Pde3b	0.240696	0.272983
Srm	-0.337426	0.272983
Ccdc18	-0.492598	0.272983
Gm12253	-1.578804	0.272983
Ccl6	-0.179739	0.272924
Sap30bp	-0.302248	0.272924
Acat1	0.321694	0.272875
Mcemp1	-1.346252	0.272875
Taf8	-0.351454	0.272765
Cryab	-0.354938	0.272443
Stat2	-0.309626	0.27182
Gm16536	-0.259024	0.271801
Atp13a2	-0.361508	0.271801
Hand1	-0.515985	0.271801
Txnip	0.489038	0.271616
Ric1	0.216137	0.271616
Slc1a1	-0.3278	0.271616
Lsm11	-0.381508	0.271616
Stab2	-1.183535	0.271616
Gata4	-1.551882	0.271616
Gm12185	-1.631803	0.271616
Peli2	0.258575	0.271509
Rspo2	0.739374	0.27113
Dennd3	0.436233	0.271105
Relb	0.283964	0.271105
H6pd	0.275864	0.271105
Tmprss4	0.253408	0.271105
Bud31	-0.176901	0.271105
Mrps9	-0.207762	0.271105
Ppm1d	-0.264103	0.271105
Eml3	-0.327931	0.271105
Fam213a	-0.375648	0.271105
F830016B08Rik	1.062949	0.270785
Slc7a15	-1.03836	0.270785
Mon1b	-0.293418	0.270747
Snord11	1.419499	0.270736
Akap5	0.820258	0.270736
Tnf	0.819191	0.270736
Sugp1	-0.32927	0.270736
Pstk	-0.37713	0.270736
Aplp1	-0.403719	0.270736
Loxl3	-0.564084	0.270736
Ppfia2	-0.738366	0.270736
Miat	-0.814848	0.270736
E130215H24Rik	-1.707223	0.270736
Rpl31-ps9	-2.101874	0.270736
Cacnb2	-0.395045	0.270723
Gm9844	0.907547	0.270611
Agbl2	0.562676	0.270611
Exosc10	-0.266725	0.270611
Tec	0.482673	0.270185
Rap1gap	-0.277422	0.269787
Gabra4	-1.784221	0.269787
Klf4	0.301258	0.269738
Swt1	0.206864	0.269384
Fam189a1	-0.479363	0.269142
Cd14	0.452182	0.269101
Gm12501	1.537996	0.268579
Hist1h4b	0.823749	0.268579
Ddo	0.777188	0.268579
Slc19a2	0.752571	0.268579
Gm1631	0.556943	0.268579
Bmpr2	0.148872	0.268579
Apol10a	-0.419088	0.268579
Gm15848	-0.434848	0.268579
1810043G02Rik	-0.492348	0.268579
Ifi35	-0.310199	0.268526
Pax4	-1.001152	0.268526
Ppp1r16b	-0.503176	0.267991
Angel2	-0.162445	0.267688
6430548M08Rik	0.222972	0.267643
Kcna6	-0.38021	0.267643
Clstn3	-0.941245	0.267349
Fdx1	0.268236	0.2673
Pla2g2c	-1.188923	0.267021
I830077J02Rik	-1.223698	0.267021
RP23-335B9.5	-1.224179	0.267021
RP23-247F18.6	-1.224313	0.267021
Rab3ip	0.153989	0.266893
Gm5134	-1.223375	0.266893
Enpp4	-0.219112	0.266749
Tmem126b	-0.307135	0.266749
Ndp	-1.223122	0.266749
Tekt5	-1.223208	0.266749
2310069G16Rik	-1.223297	0.266749
Mlip	-1.223305	0.266749
Neurod6	-1.222793	0.266644
Hoxaas2	1.079594	0.266485
C730034F03Rik	1.079388	0.266485
Lyve1	0.25505	0.266485
Pcsk1	-0.247333	0.266261
Shcbp1l	1.079238	0.266256
Zfp280c	0.409673	0.266159
Scamp2	-0.161181	0.266159
Scarna2	-0.737329	0.266159
Gm29358	-0.836424	0.266159
Kctd17	1.078833	0.265957
Parp11	-0.281876	0.265957
Scara3	-0.502261	0.265695
Gm21814	-0.87871	0.265695
Gm17511	-1.561539	0.265695
Fam46c	0.338659	0.265423
Xaf1	-0.532933	0.264867
Slc10a4	-0.548351	0.264867
Fam173b	-0.236007	0.264699
Bola2	-0.227421	0.264546
Pibf1	0.244263	0.264502
Fam160a2	0.193106	0.264502
2700060E02Rik	-0.200651	0.264502
Diap3	-0.610186	0.264502
Hgs	-0.185394	0.264013
Myt1l	-0.526511	0.264013
Smpd5	-1.230752	0.264013
Mmp16	0.621116	0.263803
Tnrc6b	0.157219	0.263803
Samm50	-0.171429	0.263803
Spopl	-0.193405	0.263803
U2af1l4	-0.26593	0.263803
Nabp2	-0.277712	0.263803
Dab1	-0.565275	0.263803
2610318N02Rik	-0.820554	0.263803
Hlcs	0.398646	0.263667
Cetn2	0.241072	0.263667
Rps5	-0.171149	0.263667
Erc1	-0.221247	0.263667
Prss36	-0.650994	0.263362
Cenpe	-0.26619	0.263101
Rnf24	0.521854	0.262814
Trabd	0.291867	0.262134
Arnt	0.259491	0.262134
Sh3bgr	-0.228446	0.262134
Limch1	-0.338538	0.262134
Kdelc1	-0.451726	0.262134
Pif1	-0.5427	0.262134
Zfp131	0.288665	0.262069
Adrb1	-0.347522	0.261926
Fan1	-0.570962	0.261926
Gm12166	0.744243	0.261335
Intu	0.519026	0.261335
Tspan14	0.384253	0.261335
Stx4a	0.236303	0.261335
Fam175a	-0.295076	0.261335
Ube2c	-0.342953	0.261335
Fam219b	-0.348164	0.261335
Slfn8	-0.703692	0.261335
Churc1	0.306005	0.260991
Rbm24	0.365553	0.260714
Sppl3	-0.152396	0.260714
Sapcd1	-1.232866	0.260714
Tdrd5	1.312621	0.260569
Gm12207	1.312364	0.260569
Gata6	-0.224477	0.260569
Htr1b	1.311653	0.260547
Grpr	0.763966	0.260547
Mcc	0.515928	0.260547
Mical1	0.347023	0.260547
Far1	0.258498	0.260547
Etv6	0.243395	0.260547
Ilf3	0.236389	0.260547
Armc8	0.216679	0.260547
Pithd1	-0.150838	0.260547
Mlph	-0.164964	0.260547
Cacna1e	-0.242844	0.260547
Ext2	-0.275351	0.260547
Vars	-0.30469	0.260547
Tyw1	-0.314969	0.260547
Eme1	-1.05283	0.260547
Pus7l	-0.474005	0.260425
Atp5s	0.371315	0.260385
Rbm34	0.254657	0.260385
Ppy	0.646298	0.260225
Ptch1	-0.198639	0.259759
Gpaa1	-0.216726	0.259578
Spc25	-0.312881	0.259501
Dhx33	-0.244343	0.259443
Pcbp3	-0.426562	0.258505
Acsl1	0.291411	0.258427
Gm6395	0.556913	0.258366
Cask	0.189594	0.258366
Top2a	-0.258411	0.258366
Zfp81	-0.271729	0.258366
Vps25	-0.720276	0.258366
Fzd10	-0.821512	0.258366
Itga10	-0.84757	0.258366
Acy1	0.263111	0.258301
Nlrp6	-0.192971	0.258301
Proser3	-0.702932	0.258301
Nrbf2	1.074304	0.257994
Cldn22	-1.251258	0.257994
Mrpl38	0.218991	0.257871
Gcfc2	-0.285904	0.257784
Gm14127	1.419395	0.257592
Mir24-2	1.419177	0.257592
Gngt1	1.419168	0.257592
Prox1os	1.418909	0.257592
Gm22328	1.418903	0.257592
Mpz	1.418551	0.257592
Cdh8	1.418398	0.257592
Gm15753	1.418311	0.257592
Rpl35a-ps4	1.418065	0.257592
Cml5	1.336806	0.257592
Scgb3a1	0.973613	0.257592
Cmtm3	0.426592	0.257592
Celf5	0.354475	0.257592
Cldn2	0.290079	0.257592
5730508B09Rik	0.285561	0.257592
Actr10	0.150535	0.257592
Lrp10	-0.188292	0.257592
Hnrnpul1	-0.205127	0.257592
Atad3a	-0.226946	0.257592
Shpk	-0.333081	0.257592
E030030I06Rik	-0.476517	0.257592
Arhgap44	-0.651325	0.257592
Tube1	-0.867989	0.257592
Iqcg	-1.061322	0.257592
Cd22	-1.086085	0.257592
Necab2	-1.222712	0.257592
Snrpf	0.743215	0.257442
Chp2	-0.403881	0.257435
Nbeal1	0.152777	0.257428
Gm13622	1.419699	0.25724
Ido1	0.86604	0.25724
Mum1l1	0.854924	0.25724
Nradd	0.54438	0.25724
Brd2	0.297975	0.25724
Tjp1	0.227694	0.25724
Ndrg1	0.17726	0.25724
1810022K09Rik	-0.142905	0.25724
Acta2	-0.181583	0.25724
Dctn2	-0.208692	0.25724
Gabarapl1	-0.217143	0.25724
Leo1	-0.248788	0.25724
Lypd8	-0.262509	0.25724
Gm16863	-0.635808	0.25724
Dll3	-1.23227	0.25724
Syt16	-1.259792	0.25724
Fam184b	-1.306991	0.25724
Pdcd10	0.217895	0.257075
Prdm11	-0.3729	0.256812
Rps15a-ps1	1.453778	0.256805
Gm17193	1.436153	0.256805
Gm11827	1.430954	0.256805
Gm26877	1.423808	0.256805
Slc25a43	1.404544	0.256805
Hs3st6	1.341645	0.256805
Alox12b	1.325583	0.256805
2310031A07Rik	1.303125	0.256805
Gm12406	1.294752	0.256805
Gm24299	1.293202	0.256805
Gm12749	1.29259	0.256805
Gm8787	1.292197	0.256805
Gm7027	1.285021	0.256805
Zfp382	1.284951	0.256805
RP23-5C23.1	1.279356	0.256805
6330403N20Rik	1.276034	0.256805
Gm17541	1.275917	0.256805
Gm7895	1.275846	0.256805
BC048644	1.27523	0.256805
Gm15471	1.275144	0.256805
1700016P03Rik	1.275118	0.256805
Foxo6os	1.274965	0.256805
RP23-324F10.1	1.274924	0.256805
Gm8724	1.274886	0.256805
Tex22	1.274876	0.256805
Nkx2-9	1.274868	0.256805
Slc17a7	1.27483	0.256805
Fitm1	1.274803	0.256805
RP23-81L22.3	1.274754	0.256805
Gm23301	1.274741	0.256805
2310026L22Rik	1.274729	0.256805
Ros1	1.274716	0.256805
Gm16208	1.274714	0.256805
RP23-250G8.12	1.274705	0.256805
Hmgb1-ps5	1.274663	0.256805
Gm14154	1.274654	0.256805
Gm9703	1.274641	0.256805
Gm13179	1.274626	0.256805
Gm7670	1.274588	0.256805
RP24-179O3.1	1.274586	0.256805
Gm13935	1.274584	0.256805
Gjb4	1.27454	0.256805
Gm28064	1.274515	0.256805
Gm28883	1.274514	0.256805
4932443I19Rik	1.274512	0.256805
Gm24436	1.274501	0.256805
RP24-395F2.1	1.274497	0.256805
Gm10785	1.274496	0.256805
Gm5566	1.274471	0.256805
RP23-322G4.2	1.274469	0.256805
Ccdc81	1.274463	0.256805
Rlbp1	1.274462	0.256805
Syce1l	1.274459	0.256805
Gm29642	1.274379	0.256805
Gm15984	1.274378	0.256805
Mir7688	1.274378	0.256805
Car6	1.274365	0.256805
4732414G09Rik	1.27436	0.256805
Gm25291	1.274313	0.256805
RP23-255J24.2	1.274289	0.256805
Gm17092	1.274286	0.256805
Lypd3	1.274282	0.256805
Cdh6	1.274238	0.256805
Gm15856	1.274234	0.256805
Gm25788	1.274231	0.256805
Gm13054	1.274222	0.256805
Gm15246	1.274209	0.256805
Oscar	1.274209	0.256805
Srd5a2	1.274153	0.256805
Gm16558	1.274113	0.256805
RP23-346I1.2	1.27411	0.256805
Gm16550	1.274081	0.256805
BB218582	1.274075	0.256805
A430072P03Rik	1.274064	0.256805
Crhbp	1.274056	0.256805
RP23-415C3.4	1.274003	0.256805
Gm14209	1.273991	0.256805
RP23-389J8.2	1.273978	0.256805
Gm16316	1.273975	0.256805
RP23-398C14.1	1.273975	0.256805
Gm10710	1.273975	0.256805
Ccdc142	1.273955	0.256805
Fmo6	1.273928	0.256805
Duox1	1.27388	0.256805
A730090N16Rik	1.273841	0.256805
Gm14733	1.273731	0.256805
Hpx	1.273703	0.256805
Gm12691	1.273694	0.256805
4931415C17Rik	1.273679	0.256805
Mir1195	1.27263	0.256805
0610040F04Rik	1.271791	0.256805
Gm13477	1.270473	0.256805
Gm15809	1.270076	0.256805
Nxnl1	1.269844	0.256805
RP23-76C20.4	1.267422	0.256805
Susd5	1.260671	0.256805
Gm10729	1.234721	0.256805
Bend3	1.071211	0.256805
Atp5l-ps2	1.069463	0.256805
1700056E22Rik	1.029495	0.256805
Abcb6	1.02276	0.256805
Cux2	0.897033	0.256805
Arg1	0.890396	0.256805
Arxes1	0.836741	0.256805
Gp49a	0.79419	0.256805
Gsdma	0.79317	0.256805
Mrap	0.76333	0.256805
BC028528	0.760567	0.256805
Arhgap19	0.742505	0.256805
Prrx1	0.739702	0.256805
Gm12231	0.735342	0.256805
Zfpm2	0.730207	0.256805
Mdga1	0.725827	0.256805
E130317F20Rik	0.716517	0.256805
Rgmb	0.67823	0.256805
Mrc2	0.653025	0.256805
Snord89	0.517496	0.256805
RP23-377G8.4	0.51433	0.256805
Cyp3a25	0.507626	0.256805
Olfml2b	0.497987	0.256805
Med30	0.495931	0.256805
RP23-192P10.3	0.485448	0.256805
Fmo1	0.463461	0.256805
Cdc7	0.450307	0.256805
Slc25a32	0.423623	0.256805
Bag2	0.39817	0.256805
Usp28	0.391003	0.256805
9330159F19Rik	0.372016	0.256805
Ccdc92	0.370014	0.256805
Heatr3	0.365111	0.256805
Dach1	0.3624	0.256805
Fbln5	0.355194	0.256805
Tmem168	0.344587	0.256805
F13a1	0.341324	0.256805
Pmaip1	0.336895	0.256805
Fam103a1	0.329844	0.256805
Avpi1	0.32635	0.256805
Glis3	0.320235	0.256805
Tnks1bp1	0.319206	0.256805
Mcm2	0.315451	0.256805
Mst1r	0.314353	0.256805
Dtd1	0.310926	0.256805
Chst2	0.300824	0.256805
Zfp410	0.297744	0.256805
Lsm10	0.293172	0.256805
Fastkd1	0.292663	0.256805
Plekhg5	0.290058	0.256805
Rpl14-ps1	0.281498	0.256805
Fam222b	0.27905	0.256805
Pde9a	0.274812	0.256805
M6pr	0.272658	0.256805
Sike1	0.267976	0.256805
Ufsp1	0.263326	0.256805
Runx1	0.261908	0.256805
Ndufaf3	0.259362	0.256805
Svep1	0.257945	0.256805
Gpr125	0.257886	0.256805
Bcl10	0.257393	0.256805
Gimap9	0.256155	0.256805
Car2	0.254815	0.256805
Stx8	0.253962	0.256805
Zscan21	0.25337	0.256805
Bcl6	0.252876	0.256805
Rap2b	0.243948	0.256805
Traf6	0.239021	0.256805
3110043O21Rik	0.23713	0.256805
Dgat2	0.236625	0.256805
Daxx	0.228429	0.256805
Ccnd1	0.227788	0.256805
Mecp2	0.226943	0.256805
B4galt6	0.224981	0.256805
Usp15	0.221686	0.256805
Rbm12	0.221302	0.256805
Plgrkt	0.219447	0.256805
Jak2	0.217615	0.256805
Csnk1g3	0.209978	0.256805
Chic1	0.209405	0.256805
Btaf1	0.208677	0.256805
Rragc	0.208025	0.256805
Eif4g3	0.199326	0.256805
Sh3rf1	0.198464	0.256805
Psma4	0.195258	0.256805
Mrpl33	0.188196	0.256805
Otud7b	0.185588	0.256805
Map3k2	0.18481	0.256805
Mgat4a	0.17816	0.256805
Adam10	0.175909	0.256805
Wbp11	0.174415	0.256805
Ppp3ca	0.170374	0.256805
Ppp2r2a	0.162425	0.256805
Sec23ip	0.156068	0.256805
Ahnak	0.155325	0.256805
Dpt	0.154347	0.256805
Spag9	0.153724	0.256805
Timm17a	0.150128	0.256805
Clcn3	0.144787	0.256805
Atrx	0.137957	0.256805
Naca	0.13085	0.256805
Kmt2e	0.12622	0.256805
Sub1	0.124457	0.256805
Ssr1	0.123514	0.256805
Pum1	-0.137009	0.256805
Cyhr1	-0.148426	0.256805
Fermt1	-0.154106	0.256805
Arhgap21	-0.155358	0.256805
Neat1	-0.157575	0.256805
Upf3b	-0.158711	0.256805
Arl2bp	-0.159455	0.256805
Casc3	-0.159982	0.256805
Prr13	-0.16797	0.256805
Cox4i1	-0.169747	0.256805
BC017643	-0.176573	0.256805
Anxa7	-0.17755	0.256805
Phax	-0.179504	0.256805
Trim28	-0.181538	0.256805
Tor3a	-0.192886	0.256805
Bnip3l	-0.194487	0.256805
Med14	-0.199492	0.256805
Gcsh	-0.201615	0.256805
Col4a2	-0.203602	0.256805
4930402H24Rik	-0.207489	0.256805
Mrpl49	-0.208154	0.256805
Meis1	-0.208852	0.256805
Rtca	-0.209197	0.256805
l7Rn6	-0.211047	0.256805
Fez2	-0.212647	0.256805
Tff3	-0.214119	0.256805
Cep57	-0.214671	0.256805
Zfp639	-0.216879	0.256805
Fam126a	-0.217129	0.256805
Nsun4	-0.219279	0.256805
Rnf185	-0.219988	0.256805
Nomo1	-0.220518	0.256805
Rnf216	-0.223855	0.256805
Rps13-ps2	-0.224861	0.256805
Pigr	-0.227345	0.256805
Trim31	-0.232448	0.256805
Oaz1	-0.23519	0.256805
Fam174b	-0.235469	0.256805
Dusp23	-0.236908	0.256805
Nrd1	-0.238568	0.256805
Zer1	-0.24319	0.256805
Gmppa	-0.24342	0.256805
Arhgef18	-0.244196	0.256805
Rad51d	-0.246877	0.256805
Ctps2	-0.247565	0.256805
Fer1l6	-0.249245	0.256805
Exoc1	-0.249734	0.256805
Kiz	-0.253866	0.256805
Pklr	-0.254584	0.256805
Fam160b2	-0.259502	0.256805
Nenf	-0.259641	0.256805
Tonsl	-0.260711	0.256805
Ak4	-0.26081	0.256805
Kat5	-0.263844	0.256805
Pomgnt2	-0.264599	0.256805
Card10	-0.265496	0.256805
2810008D09Rik	-0.267449	0.256805
Slc19a1	-0.273438	0.256805
Cenpb	-0.274016	0.256805
Txnl4a	-0.279669	0.256805
Jph2	-0.282321	0.256805
Slc7a7	-0.287789	0.256805
Tbc1d14	-0.288866	0.256805
Acad9	-0.291053	0.256805
Rhobtb1	-0.291865	0.256805
Cad	-0.312703	0.256805
Pdzd11	-0.31292	0.256805
C130074G19Rik	-0.315918	0.256805
Ccl25	-0.316027	0.256805
Hoxa5	-0.31792	0.256805
Plxnb1	-0.321535	0.256805
Adcy7	-0.325618	0.256805
Slc25a19	-0.326351	0.256805
Tmcc2	-0.336033	0.256805
Zfp799	-0.342683	0.256805
Hdac10	-0.343238	0.256805
Zfp316	-0.353948	0.256805
Nutf2	-0.35838	0.256805
Zmym6	-0.35911	0.256805
Klhdc8a	-0.368201	0.256805
Ascc1	-0.370833	0.256805
9330160F10Rik	-0.384161	0.256805
Kif1a	-0.388619	0.256805
Zfp90	-0.400145	0.256805
Flywch2	-0.406961	0.256805
Bex1	-0.407547	0.256805
Cep83os	-0.419064	0.256805
1110002L01Rik	-0.430557	0.256805
Cxx1b	-0.435179	0.256805
Dpp6	-0.445442	0.256805
Zfp37	-0.462616	0.256805
Copz2	-0.477488	0.256805
Capn13	-0.489399	0.256805
Kif20a	-0.493031	0.256805
Gm28582	-0.519576	0.256805
Zfp951	-0.520148	0.256805
Them6	-0.521199	0.256805
Cyp26b1	-0.527549	0.256805
Fxn	-0.536115	0.256805
Sars2	-0.549919	0.256805
Bglap3	-0.557391	0.256805
Gm9920	-0.569234	0.256805
Zfp658	-0.569775	0.256805
Gm5436	-0.575496	0.256805
Gm9828	-0.607605	0.256805
S100z	-0.616417	0.256805
Gm15638	-0.658532	0.256805
Gm16023	-0.668384	0.256805
Ms4a18	-0.690842	0.256805
Shh	-0.695228	0.256805
Tceal5	-0.706465	0.256805
Pcgf1	-0.710922	0.256805
Ubl7	-0.787592	0.256805
Lrrc73	-0.79756	0.256805
4833412C05Rik	-0.80368	0.256805
Cd8a	-0.809772	0.256805
Dnah5	-0.833157	0.256805
Tff2	-0.90173	0.256805
Rpl27a-ps2	-0.91617	0.256805
Tmem116	-0.940333	0.256805
Lilra5	-0.947369	0.256805
Atxn7l2	-0.982106	0.256805
Bbox1	-1.047589	0.256805
Csrnp3	-1.090434	0.256805
Cst7	-1.154846	0.256805
A330009N23Rik	-1.163509	0.256805
RP23-413K6.4	-1.16757	0.256805
Phex	-1.191187	0.256805
Upk3bl	-1.201761	0.256805
Gm13203	-1.228142	0.256805
5930403N24Rik	-1.234127	0.256805
Wnt3	-1.263305	0.256805
Gm13572	-1.263461	0.256805
Slc6a3	-1.263464	0.256805
Fut7	-1.263497	0.256805
Gm15790	-1.263523	0.256805
Gm29502	-1.263543	0.256805
Gm15416	-1.263547	0.256805
Gm26777	-1.263549	0.256805
6820408C15Rik	-1.263554	0.256805
Rnf133	-1.263579	0.256805
Gm15829	-1.263581	0.256805
Daf2	-1.263583	0.256805
Cyp2c40	-1.26361	0.256805
Shc3	-1.26361	0.256805
Gm4660	-1.263612	0.256805
4921504A21Rik	-1.263619	0.256805
Gm12715	-1.263632	0.256805
Snord49a	-1.263633	0.256805
RP23-353G11.6	-1.263639	0.256805
Gm21846	-1.263644	0.256805
Samd15	-1.263653	0.256805
Gm14603	-1.263655	0.256805
Gm6652	-1.263659	0.256805
Gm5864	-1.263659	0.256805
Zfp934	-1.263665	0.256805
Ms4a15	-1.263666	0.256805
Fancd2os	-1.263703	0.256805
4930448E22Rik	-1.263705	0.256805
E330017L17Rik	-1.263706	0.256805
Gm5177	-1.263741	0.256805
Ces3a	-1.263742	0.256805
Gm13375	-1.263742	0.256805
4932430I15Rik	-1.263792	0.256805
RP23-132G24.2	-1.263792	0.256805
2610028E06Rik	-1.263792	0.256805
A830012C17Rik	-1.263834	0.256805
Gm6877	-1.263852	0.256805
Gm29430	-1.263858	0.256805
Gm25821	-1.263858	0.256805
1500009C09Rik	-1.26386	0.256805
Gm4221	-1.263905	0.256805
Wfdc13	-1.263906	0.256805
Gm27033	-1.263909	0.256805
Krt1	-1.263939	0.256805
Klhl40	-1.263943	0.256805
Gm24447	-1.263945	0.256805
Klf17	-1.263945	0.256805
1700007K09Rik	-1.26396	0.256805
Gm13154	-1.263988	0.256805
Gm26756	-1.263995	0.256805
Masp2	-1.263997	0.256805
9930038B18Rik	-1.264023	0.256805
Ces1b	-1.264028	0.256805
Syngr4	-1.264038	0.256805
RP23-2K13.1	-1.264038	0.256805
Gm5868	-1.264054	0.256805
9430041J12Rik	-1.264066	0.256805
Ghrhr	-1.264073	0.256805
Gm12517	-1.264077	0.256805
Gm13410	-1.26408	0.256805
Gm7701	-1.264113	0.256805
Gm14719	-1.264172	0.256805
