	Log2(FC)	Log10(Adj. P-value)
Gnao1	0.135236	0.142465
Pak4	0.127917	0.142465
Lrrfip1	0.124955	0.142465
Sub1	-0.097798	0.142465
Gsto1	-0.112144	0.142465
1700020I14Rik	-0.117112	0.142465
Wbp11	-0.119868	0.142465
Exoc6b	-0.137412	0.142465
Mrpl41	-0.140462	0.142465
Acvr2a	-0.14095	0.142465
Vwa8	-0.150819	0.142465
Pbx3	-0.160355	0.142465
Eif1b	-0.167484	0.142465
Exoc7	-0.187203	0.142465
Itpripl2	-0.20232	0.142465
Shprh	-0.205646	0.142465
Rbmx	-0.268316	0.142465
Pparg	-0.277036	0.142465
Spint2	-0.310045	0.142465
Tmem168	-0.312401	0.142465
Gm6085	-0.337826	0.142465
Ninl	-0.34322	0.142465
Crabp1	-0.393442	0.142465
RP24-546N2.5	-0.44398	0.142465
1-Sep	-0.458602	0.142465
Cd3d	-0.555881	0.142465
1700029I15Rik	-0.55844	0.142465
Cd3e	-0.623969	0.142465
Miat	-0.659076	0.142465
Hpca	-0.75646	0.142465
Cd27	-0.776497	0.142465
Snora16a	-0.781625	0.142465
Grin2b	-0.994777	0.142465
RP23-171A13.10	-1.02436	0.142465
RP24-490B17.7	-1.093008	0.142465
Gm25780	-1.093273	0.142465
Gm12971	-1.093298	0.142465
Rpl31-ps17	-1.093318	0.142465
Ugt1a2	-1.093493	0.142465
1110017D15Rik	-1.093498	0.142465
6030419C18Rik	-1.093739	0.142465
RP23-323H18.1	-1.09374	0.142465
Gm6565	-1.093893	0.142465
Gm22951	-1.093941	0.142465
Lrrc7	-1.093978	0.142465
Gm16096	-1.094001	0.142465
Pcnxl2	-1.094022	0.142465
Kcnmb4os2	-1.094034	0.142465
RP23-403H2.2	-1.094167	0.142465
Halr1	-1.094219	0.142465
Gm14279	-1.094235	0.142465
Gm29609	-1.094248	0.142465
Gm13194	-1.094295	0.142465
Srd5a2	-1.094298	0.142465
4-Mar	-1.094337	0.142465
Gm10247	-1.094366	0.142465
Cntn6	-1.094411	0.142465
Xlr4a	-1.0945	0.142465
Gm16537	-1.094518	0.142465
RP24-423J19.3	-1.094809	0.142465
Gm5511	-1.09507	0.142465
1700101I11Rik	-1.095287	0.142465
Gm10557	-1.095594	0.142465
4933423P22Rik	-1.09562	0.142465
F730016J06Rik	-1.105495	0.142465
Col6a5	-0.496031	0.142443
Eno4	1.014385	0.142306
RP23-448H3.2	1.014159	0.142306
RP23-371A16.2	1.014077	0.142306
Gm10517	1.01353	0.142306
Gm29214	1.013216	0.142306
Gm13176	1.013161	0.142306
Gm27003	1.013043	0.142306
Cdkl4	1.012746	0.142306
Fam65a	0.193796	0.142306
Flot2	0.16332	0.142306
Naa30	0.138854	0.142306
Sec31a	-0.098912	0.142306
Irf2	-0.103022	0.142306
Ptpra	-0.120412	0.142306
Bspry	-0.155233	0.142306
Safb	-0.160102	0.142306
Trappc12	-0.184953	0.142306
Pih1d1	-0.213656	0.142306
Plscr1	-0.217464	0.142306
Slfn9	-0.244157	0.142306
Pla2g12b	-0.424448	0.142306
Steap4	-0.611715	0.142306
Gm7535	-1.121088	0.142306
Zfp386	-0.142714	0.14225
B630005N14Rik	-0.232042	0.14225
Nat9	-0.242981	0.14225
Kcnh7	1.032003	0.142242
Sntg1	0.692021	0.142242
St6galnac4	0.236745	0.142242
Tsta3	0.117389	0.142242
Fam208a	-0.126637	0.142242
Ndufa13	-0.128099	0.142242
Tbc1d10a	-0.264985	0.142242
Taf1b	-0.378831	0.142242
Sorbs1	-0.430505	0.142242
A930024N18Rik	-0.695972	0.142242
Tcfl5	-1.093269	0.142242
Fkbp9	0.142856	0.142141
Ankrd1	0.8436	0.142117
Bloc1s2	0.393053	0.142117
Mrps33	-0.248691	0.142117
Phf7	0.295198	0.141961
Slc18b1	-0.21172	0.141961
Parg	0.164961	0.141831
Slitrk1	0.690918	0.14137
Esr1	0.359652	0.14137
Celsr2	0.405213	0.141257
Rpl7l1	0.143779	0.141233
Tomm70a	0.162758	0.140852
Pura	0.091563	0.140852
Gbe1	-0.148254	0.140852
Kras	-0.173691	0.140852
Xrcc4	-0.323126	0.140852
Chrnb1	-0.4065	0.140852
Mir194-2	-1.163607	0.140852
Dnajc28	0.307045	0.14078
Gm7628	1.010115	0.140707
BC026585	0.301323	0.140707
Rdh16	0.387634	0.140692
Fam174a	0.228098	0.140692
4930511M06Rik	0.498852	0.140667
Gpihbp1	0.325144	0.140641
Mast3	0.308661	0.140641
Fcgr3	0.181025	0.140266
Sox12	-0.338771	0.140266
St8sia4	0.284117	0.140236
Bmp8b	0.685772	0.140226
Nipbl	-0.117593	0.140226
Cacul1	0.111	0.140052
Cox4i2	0.484525	0.140031
Polk	0.234487	0.140031
Map1b	-0.133528	0.140031
Gm11633	-1.122876	0.139892
A330009N23Rik	1.046483	0.139787
Morn2	-0.282764	0.139787
2010204K13Rik	0.299919	0.139683
Agr2	0.170152	0.139683
Cfdp1	0.155607	0.139683
Phrf1	0.129977	0.139683
Zpr1	-0.191988	0.139683
Zfp655	-0.187101	0.139632
Fjx1	0.431031	0.139314
Ralbp1	-0.128324	0.139314
Gsta3	0.218907	0.139054
Gm15937	-0.369382	0.139054
Usp19	0.214618	0.138925
Capn2	-0.152953	0.138896
Lgals2	-0.44524	0.138499
Rgs9	-0.62123	0.138499
Gm16062	1.034116	0.138493
Col4a6	0.326305	0.138493
Spock2	0.235707	0.138493
Numa1	-0.129575	0.138493
Hmmr	-0.292553	0.138493
Gm12254	-0.351151	0.138493
Mboat2	-0.207378	0.138283
Gm12940	0.332474	0.138192
Dynlt1a	-1.092834	0.138192
RP23-271G7.1	0.907787	0.138141
RP23-411M4.2	0.406383	0.138141
Aar2	-0.305681	0.138141
Lrat	-0.307043	0.138141
Abcf2	-0.268262	0.138003
Gm13771	1.395321	0.13797
Bglap3	0.407352	0.13797
Eltd1	0.251091	0.13797
0610011F06Rik	0.133268	0.13797
Oaz1	-0.171123	0.13797
Pfkl	-0.173127	0.13797
Gas1	-0.197783	0.13797
Zfp637	-0.229703	0.13797
Parp11	-0.244681	0.13797
Gmeb2	-0.269707	0.13797
Tm9sf1	-0.307182	0.13797
Rpl21-ps11	-1.168177	0.13797
Neurl1a	0.298234	0.137874
Jakmip2	-0.640667	0.137847
Loxl4	0.739923	0.13771
Zfp688	-0.351742	0.13771
Adam18	-0.585111	0.13771
Gm23445	0.730933	0.137639
Gm12504	0.560812	0.137639
Sox13	0.180996	0.137639
Ppp1r12b	0.149723	0.137639
Adtrp	-0.132268	0.137639
Fmo5	-0.176136	0.137639
Ttc6	-0.284324	0.137639
Chd3os	-0.46593	0.137639
Pcyt1b	-0.639953	0.137639
Dgkz	0.178309	0.137622
Pik3c2g	1.140983	0.137553
Cdc42bpa	-0.109203	0.137553
Rnasel	-0.148577	0.137553
Scml4	-0.194248	0.137553
Spag1	-0.566744	0.137553
Dek	-0.111946	0.137357
Fam175b	0.163049	0.137333
Ybx3	0.104592	0.137333
Usp16	-0.121038	0.137333
Zfp772	0.243169	0.13728
Actr5	-0.264917	0.13728
Gm12058	1.067822	0.137188
Bnip3	0.172363	0.136996
Spr	-0.171062	0.136996
Clybl	-0.178603	0.136996
Hsp90ab1	-0.127936	0.136701
N28178	0.672675	0.136687
RP24-176F12.12	-0.323911	0.136685
Stat3	0.159785	0.136549
Cntn5	0.83182	0.136372
AA413626	0.819466	0.136372
Dhh	0.817834	0.136372
Tnf	0.540097	0.136372
Gm21992	0.424882	0.136372
Tmem107	0.381115	0.136372
Gm25930	0.378804	0.136372
Rnaset2b	0.371573	0.136372
Cd83	0.350365	0.136372
Syt4	0.238226	0.136372
Rrs1	0.237452	0.136372
Lrch1	0.215282	0.136372
Gmcl1	0.172931	0.136372
Ctbp2	-0.167017	0.136372
Klhl24	-0.179341	0.136372
Ankrd49	-0.196548	0.136372
2310003H01Rik	-0.217516	0.136372
RP24-93F24.2	-0.259668	0.136372
RP24-370G18.1	-0.260747	0.136372
Uevld	-0.265985	0.136372
Bcl2l2	-0.273662	0.136372
Ptk6	-0.305812	0.136372
Edn2	-0.33918	0.136372
Lrrc48	-0.581615	0.136372
Gm24276	-1.056469	0.136372
Panx2	-1.168714	0.136372
9530036M11Rik	0.817589	0.136286
Pan2	-0.425328	0.136286
Gm24400	-0.583691	0.136207
Slc39a9	0.172829	0.136198
Lmo4	-0.128019	0.136198
Nrm	-0.290403	0.136198
Gm5913	-1.060787	0.136198
Fbxo31	0.178883	0.136158
Ints3	0.204826	0.13605
Micall2	0.250816	0.135885
Npl	0.575217	0.135745
Ccdc181	-0.217688	0.135745
Zbtb5	-0.281514	0.135745
A530072M11Rik	1.053876	0.135718
Gm26645	1.011828	0.135718
Gm11131	0.436469	0.135718
Higd2a	0.100379	0.135718
Gtf3c6	-0.180178	0.135718
Dhrs11	-0.464064	0.135718
Snrpf	-0.579999	0.135718
Gm15712	-1.128869	0.135718
Pgam2	-1.13968	0.135718
Zbtb48	0.333794	0.135592
Psmd14	-0.20078	0.135563
Ddx31	-0.334219	0.135563
Cyp4f18	-0.347016	0.135563
Mast4	0.114318	0.135552
Gm8172	1.328525	0.135429
Gm2895	1.134583	0.135429
Tmem221	1.050142	0.135429
BC027582	1.002005	0.135429
Rpsa-ps1	0.98548	0.135429
A630052C17Rik	0.905338	0.135429
B230206L02Rik	0.89094	0.135429
Rpl31-ps20	0.882245	0.135429
Gm13015	0.875481	0.135429
Clec12b	0.869403	0.135429
Gpr137c	0.850261	0.135429
Vwa2	0.837573	0.135429
Gm10425	0.829431	0.135429
Gm12918	0.825501	0.135429
Aipl1	0.821872	0.135429
Sox15	0.821523	0.135429
C920025E04Rik	0.820835	0.135429
RP24-267G24.1	0.816708	0.135429
Lypd3	0.816708	0.135429
Rsg1	0.816708	0.135429
Gm29397	0.816705	0.135429
Gm10532	0.816705	0.135429
Ghrhr	0.816695	0.135429
Gm11128	0.816626	0.135429
2310002F09Rik	0.81651	0.135429
Ripply1	0.81651	0.135429
RP23-339P23.1	0.816509	0.135429
Gm29461	0.816507	0.135429
Hist2h2ab	0.816507	0.135429
Gm16083	0.816505	0.135429
A430072P03Rik	0.816504	0.135429
Fam227b	0.816503	0.135429
Gm15032	0.816502	0.135429
Gm8326	0.8165	0.135429
Gm13743	0.816492	0.135429
Trex2	0.816489	0.135429
Gm29100	0.816477	0.135429
Gm23493	0.816477	0.135429
Gm25426	0.816476	0.135429
RP23-398C14.1	0.816475	0.135429
Bcl2l10	0.816474	0.135429
Gm6679	0.816472	0.135429
C130046K22Rik	0.816472	0.135429
RP24-411K2.1	0.816471	0.135429
Osm	0.816456	0.135429
Gm6652	0.816452	0.135429
RP24-153E5.1	0.816451	0.135429
RP24-287C2.1	0.81645	0.135429
Gm15489	0.81645	0.135429
RP23-152I6.2	0.816448	0.135429
Kcna2	0.816448	0.135429
2310043L19Rik	0.816447	0.135429
8430436N08Rik	0.816446	0.135429
Corin	0.81644	0.135429
Tcrg-C1	0.816429	0.135429
Gm17023	0.81636	0.135429
Dlk2	0.816359	0.135429
Gm15512	0.816359	0.135429
4931415C17Rik	0.816359	0.135429
Rps18-ps1	0.816358	0.135429
9130019P16Rik	0.816357	0.135429
2410004I01Rik	0.816347	0.135429
E130114P18Rik	0.816283	0.135429
Gm15779	0.816283	0.135429
1700001G11Rik	0.816283	0.135429
Rhd	0.816283	0.135429
Klf17	0.816283	0.135429
Gm5460	0.816283	0.135429
Gm15984	0.816283	0.135429
Trdv4	0.816283	0.135429
Gm13546	0.816283	0.135429
4833422M21Rik	0.816283	0.135429
Dynlt1-ps1	0.816283	0.135429
Gm13448	0.81628	0.135429
Tulp1	0.81628	0.135429
Gm15416	0.81628	0.135429
Gm26822	0.81628	0.135429
Gm14407	0.81628	0.135429
Bhmt	0.81628	0.135429
Gm16316	0.81628	0.135429
4933427E11Rik	0.81628	0.135429
Gm26756	0.81628	0.135429
Gm7701	0.81628	0.135429
Gm13472	0.81628	0.135429
Gm17200	0.816269	0.135429
Pkd2l1	0.816268	0.135429
RP24-75E15.5	0.816267	0.135429
Cyp11a1	0.816267	0.135429
RP23-211F21.1	0.816267	0.135429
RP23-275B16.1	0.816267	0.135429
Fancd2os	0.816267	0.135429
Rpsa-ps4	0.816267	0.135429
Gm12906	0.816267	0.135429
Tmem215	0.816249	0.135429
2010308F09Rik	0.816246	0.135429
Sult1e1	0.816237	0.135429
Tnfrsf8	0.816236	0.135429
Gm16020	0.816236	0.135429
RP24-113A5.1	0.816235	0.135429
Gm13935	0.816235	0.135429
Daf2	0.816235	0.135429
Gm5745	0.816234	0.135429
Gm12981	0.816234	0.135429
AI115009	0.816234	0.135429
Gm5633	0.816234	0.135429
RP23-274H19.2	0.816234	0.135429
Pgr15l	0.816234	0.135429
B430212C06Rik	0.816234	0.135429
Gm14508	0.816234	0.135429
Olfm4	0.816211	0.135429
Gm17039	0.81588	0.135429
RP24-291C20.1	0.815877	0.135429
Gm14323	0.815877	0.135429
Reg2	0.815877	0.135429
Rpl7a-ps10	0.81587	0.135429
Gm13572	0.81587	0.135429
RP23-448A11.16	0.815867	0.135429
Gypa	0.815867	0.135429
Gm8495	0.815867	0.135429
Gm28935	0.815864	0.135429
Gm4070	0.815864	0.135429
Rnf148	0.815864	0.135429
Rrh	0.815864	0.135429
Gm23780	0.815864	0.135429
4930540M05Rik	0.815741	0.135429
Cd28	0.815448	0.135429
Klra17	0.815404	0.135429
Slc4a10	0.815341	0.135429
Gm15206	0.815252	0.135429
Grm8	0.811285	0.135429
Gm12854	0.808055	0.135429
2610318N02Rik	0.667581	0.135429
Ctgf	0.648283	0.135429
Lgi1	0.618486	0.135429
Gm13005	0.618235	0.135429
Gm17029	0.599648	0.135429
Klhl30	0.590919	0.135429
Tff2	0.58505	0.135429
RP23-334M9.5	0.572727	0.135429
BC022687	0.560622	0.135429
Exd1	0.490277	0.135429
Gm18048	0.489914	0.135429
Lpar2	0.48521	0.135429
Kif3c	0.449158	0.135429
Gm12122	0.447055	0.135429
Bai3	0.425448	0.135429
Ttll1	0.41261	0.135429
RP23-93D12.2	0.408035	0.135429
Gm25873	0.402458	0.135429
Gm11560	0.391755	0.135429
Kcns3	0.390533	0.135429
Slc10a4	0.383943	0.135429
Atp10d	0.381819	0.135429
4930524J08Rik	0.381566	0.135429
RP23-380F8.1	0.368762	0.135429
Myoc	0.365796	0.135429
Trpm5	0.341902	0.135429
Gm15920	0.341045	0.135429
Coa6	0.323681	0.135429
Gpr153	0.313936	0.135429
Nid2	0.311937	0.135429
Dennd6b	0.299472	0.135429
Hibch	0.296267	0.135429
Fam149a	0.288604	0.135429
Btf3l4	0.286582	0.135429
Zdhhc15	0.284693	0.135429
Glis2	0.284003	0.135429
Zfp949	0.280767	0.135429
Reln	0.274584	0.135429
Rbp1	0.272314	0.135429
Rpl35a	0.27077	0.135429
Serinc5	0.266411	0.135429
Rabl2	0.261552	0.135429
Mid2	0.261063	0.135429
Mn1	0.257133	0.135429
St3gal1	0.243202	0.135429
Gpr37l1	0.240614	0.135429
Fancm	0.240305	0.135429
Rasip1	0.239361	0.135429
Fry	0.23114	0.135429
Klhl7	0.230868	0.135429
Sfxn3	0.225308	0.135429
Tspan33	0.223191	0.135429
Amer1	0.216089	0.135429
Irf1	0.215216	0.135429
BC023829	0.212007	0.135429
Cbr1	0.203833	0.135429
Ube2n	0.202549	0.135429
Hdac1	0.201451	0.135429
Fam136a	0.200262	0.135429
Laptm5	0.199642	0.135429
Sqrdl	0.199594	0.135429
Parp6	0.199202	0.135429
Rab29	0.196995	0.135429
Tmem9	0.195679	0.135429
Arhgap26	0.19393	0.135429
Zswim8	0.1936	0.135429
Naip5	0.192167	0.135429
Klc2	0.192086	0.135429
Rcn3	0.191631	0.135429
Atp5g3	0.189544	0.135429
C1qc	0.188929	0.135429
Smim4	0.188528	0.135429
Cox19	0.18696	0.135429
Col1a1	0.186414	0.135429
Med17	0.181976	0.135429
Ghr	0.178265	0.135429
Rps14	0.177788	0.135429
Rps17	0.177753	0.135429
Htra3	0.174764	0.135429
Ranbp10	0.17021	0.135429
Tmem39a	0.17019	0.135429
Flt1	0.167538	0.135429
B4galt6	0.16735	0.135429
Snrpg	0.162665	0.135429
Igsf5	0.161966	0.135429
Casp6	0.161605	0.135429
Rabggtb	0.159408	0.135429
Ero1l	0.157786	0.135429
Mif4gd	0.15521	0.135429
Cd164	0.152938	0.135429
Mafk	0.152908	0.135429
Arhgap18	0.151649	0.135429
Socs6	0.151641	0.135429
Kcnq1ot1	0.151027	0.135429
Lrig2	0.146598	0.135429
Spty2d1	0.143871	0.135429
Slc22a23	0.142335	0.135429
Paf1	0.141738	0.135429
Wdr43	0.138232	0.135429
Pik3c2a	0.136835	0.135429
Arhgef26	0.135391	0.135429
Sec24d	0.134478	0.135429
Mbp	0.133029	0.135429
Snx4	0.127088	0.135429
Mcl1	0.126882	0.135429
Cpe	0.126842	0.135429
Iars2	0.126718	0.135429
Nab1	0.122206	0.135429
Cpd	0.121064	0.135429
Tspan1	0.11119	0.135429
Surf4	0.1053	0.135429
Osbpl2	0.102351	0.135429
Hnrnpab	-0.096296	0.135429
Ndufa10	-0.102544	0.135429
Golim4	-0.107305	0.135429
Dmxl1	-0.113964	0.135429
Atp5d	-0.114648	0.135429
Txnl1	-0.117718	0.135429
Ndufa3	-0.119329	0.135429
Tcp1	-0.119482	0.135429
Bdp1	-0.122009	0.135429
Zbtb22	-0.124503	0.135429
Tjp2	-0.130041	0.135429
Nelfb	-0.133945	0.135429
Gns	-0.135472	0.135429
Ank3	-0.136092	0.135429
Nr2f6	-0.137013	0.135429
Nudt4	-0.142543	0.135429
Pank1	-0.14333	0.135429
Brix1	-0.144838	0.135429
Prpsap1	-0.147046	0.135429
Ice2	-0.147607	0.135429
Map3k7	-0.148478	0.135429
Las1l	-0.158367	0.135429
Gins4	-0.159259	0.135429
Fez2	-0.161524	0.135429
Nubp1	-0.162134	0.135429
Krcc1	-0.170237	0.135429
Mrpl13	-0.170248	0.135429
Lnpep	-0.170496	0.135429
Cacna1c	-0.174859	0.135429
Fam171a1	-0.184965	0.135429
1600012H06Rik	-0.185745	0.135429
Atp11c	-0.187267	0.135429
Fis1	-0.1936	0.135429
Fam98a	-0.193748	0.135429
Tbc1d22a	-0.194307	0.135429
Gabpa	-0.195043	0.135429
Ddx24	-0.198394	0.135429
Tars2	-0.202084	0.135429
Emg1	-0.206721	0.135429
Nras	-0.207988	0.135429
Ifnar1	-0.208584	0.135429
D730003I15Rik	-0.209633	0.135429
Eral1	-0.211544	0.135429
Cln6	-0.212107	0.135429
Tmem125	-0.214453	0.135429
Psd3	-0.216147	0.135429
Ugt1a7c	-0.216619	0.135429
C130074G19Rik	-0.219387	0.135429
Fbxw8	-0.221742	0.135429
Garem	-0.224874	0.135429
Taf7	-0.241952	0.135429
Fbxo7	-0.242234	0.135429
Znrd1as	-0.242239	0.135429
Ints1	-0.242773	0.135429
Cdkl2	-0.243046	0.135429
Cyp20a1	-0.243323	0.135429
Phox2b	-0.251765	0.135429
Zfp362	-0.254225	0.135429
Nudt2	-0.255001	0.135429
Pex12	-0.255223	0.135429
Gpc4	-0.25806	0.135429
Gm26532	-0.262918	0.135429
Ptpru	-0.265248	0.135429
Rapgef4	-0.266759	0.135429
9430016H08Rik	-0.278377	0.135429
9330162012Rik	-0.281418	0.135429
9130221H12Rik	-0.281435	0.135429
Samd10	-0.282757	0.135429
Eef1a1	-0.285148	0.135429
Zfp595	-0.291916	0.135429
Osr1	-0.296769	0.135429
Gm9776	-0.298683	0.135429
Map9	-0.300597	0.135429
Cybrd1	-0.305281	0.135429
2810402E24Rik	-0.307956	0.135429
Map3k6	-0.32495	0.135429
Gm15859	-0.335732	0.135429
Nol3	-0.337149	0.135429
Gm22716	-0.339045	0.135429
Bahcc1	-0.341111	0.135429
Fgd1	-0.342721	0.135429
Hbb-bs	-0.34779	0.135429
D330045A20Rik	-0.349254	0.135429
Icam2	-0.353145	0.135429
Rps24-ps3	-0.353218	0.135429
Aunip	-0.354085	0.135429
Prrg3	-0.354962	0.135429
Dtx1	-0.358465	0.135429
S100g	-0.361761	0.135429
Fam58b	-0.364224	0.135429
Pygo1	-0.384745	0.135429
Mest	-0.39578	0.135429
Tubg2	-0.39877	0.135429
RP24-490B17.6	-0.405415	0.135429
Spdl1	-0.422248	0.135429
Armc6	-0.422293	0.135429
Tmem67	-0.423624	0.135429
Ankrd37	-0.432527	0.135429
Ribc1	-0.442083	0.135429
Lin7b	-0.454065	0.135429
H2-Q4	-0.45827	0.135429
Lpar3	-0.479289	0.135429
Ftl1	-0.488252	0.135429
Efcab1	-0.496865	0.135429
Agbl2	-0.510072	0.135429
Fgf12	-0.528587	0.135429
Gucy1a2	-0.547057	0.135429
Fbxl2	-0.547705	0.135429
Gm26908	-0.554307	0.135429
Gm10311	-0.559931	0.135429
Ccr5	-0.567607	0.135429
Col11a2	-0.57024	0.135429
Ctcflos	-0.571523	0.135429
Pcdhb18	-0.584559	0.135429
RP24-146B4.3	-0.593743	0.135429
Adra1a	-0.6451	0.135429
Cd40	-0.667717	0.135429
2010001K21Rik	-0.679304	0.135429
A530099J19Rik	-0.680014	0.135429
Aldh3a1	-0.68033	0.135429
Clec12a	-0.707331	0.135429
Slc7a15	-0.715605	0.135429
RP24-151O6.1	-0.725143	0.135429
Sumo2	-0.735314	0.135429
Zfp72	-0.736496	0.135429
Ccdc158	-0.739343	0.135429
Gm16546	-0.744403	0.135429
Btnl6	-0.749006	0.135429
5330439K02Rik	-0.778408	0.135429
Ms4a4c	-0.782196	0.135429
Gm24876	-0.814403	0.135429
Txlnb	-0.83121	0.135429
Ccdc146	-0.83248	0.135429
RP24-222G3.2	-0.855634	0.135429
Gm28793	-0.920344	0.135429
9330179D12Rik	-0.945588	0.135429
Dnmt3l	-1.002869	0.135429
Gm13456	-1.011672	0.135429
Gdf6	-1.051968	0.135429
Gm14270	-1.053845	0.135429
Alox12b	-1.070662	0.135429
Gm5560	-1.07305	0.135429
Rpl17-ps10	-1.080831	0.135429
Ankrd66	-1.111311	0.135429
Rpl27-ps1	-1.115054	0.135429
Zfp57	-1.115744	0.135429
Gm13160	-1.132819	0.135429
Trp63	-1.13919	0.135429
Ccdc155	-1.157926	0.135429
Gm15564	-1.163973	0.135429
Sec1	-1.176793	0.135429
Slamf1	-1.1782	0.135429
C1ql3	-1.196062	0.135429
Tomt	-1.225654	0.135429
RP23-440J24.5	-1.261076	0.135429
Acat3	-1.341919	0.135429
Gm26158	0.832388	0.135304
Maob	0.218591	0.135293
9230112D13Rik	0.814023	0.135243
RP24-441N3.2	0.81386	0.135241
H2-DMb2	0.46324	0.135241
Ccdc34	0.130952	0.135241
Zfp768	-0.209926	0.135241
Wnt8b	-1.088935	0.135241
Map3k19	0.830545	0.13498
Spg11	-0.160726	0.13498
Nsun2	-0.162429	0.13498
Snx10	0.194263	0.134641
Tsga10ip	0.83198	0.134598
Defa23	0.815746	0.13459
Atxn2	0.152219	0.13456
Gm14019	0.833045	0.13453
Cfap43	0.396953	0.13453
Ppp5c	0.208442	0.13453
Secisbp2l	-0.10008	0.13453
Gm11196	-1.209807	0.134515
Cldn11	0.992614	0.134484
Tmem88	-0.443972	0.134435
Ang5	0.840123	0.134401
Gm7206	0.831213	0.134401
Fhit	0.367943	0.134401
Gm28875	0.264262	0.134401
Stard3	0.123487	0.134401
Pqlc1	0.113728	0.134401
Tmem234	-0.117324	0.134401
Ptges3	-0.13929	0.134401
Akap8l	-0.216416	0.134401
Esrrb	-0.972879	0.134401
Mir8116	0.821456	0.134275
Gm2223	-0.827459	0.134275
Pds5b	-0.130376	0.134062
Tbc1d9b	-0.154242	0.134062
Gm26541	0.821801	0.133976
Gm25776	0.81522	0.133976
Shisa4	0.318046	0.133976
Zik1	-0.754134	0.133866
Gm24890	-0.843236	0.133866
Glo1	-0.127109	0.133842
Rac2	-0.293515	0.13379
Stox1	-0.766916	0.13379
Gm13408	0.582925	0.133786
2210418O10Rik	-1.17184	0.133786
Slc41a3	0.420012	0.133714
Shkbp1	-0.183066	0.133714
Fundc1	-0.201867	0.133714
Gm11837	-0.567487	0.133673
C7	-0.781337	0.133669
Ebpl	-0.1561	0.133639
4931431C16Rik	0.968012	0.133635
Gm5687	0.815256	0.133635
U2af1	0.223059	0.133635
Crlf2	-0.18182	0.133635
Gm24059	0.795834	0.1336
Mnat1	-0.141267	0.1336
Mvd	-0.282056	0.133574
Gm7289	0.811251	0.133565
Gprc5a	0.273708	0.133565
Tti1	0.265795	0.133565
Gm11974	0.262726	0.133565
Tor3a	0.145479	0.133565
Fau	-0.120248	0.133565
Gm16276	-1.044525	0.133516
Slc25a4	0.107393	0.133404
Dazl	0.84303	0.133394
Prss22	0.8427	0.133394
Gm6556	0.837307	0.133394
RP23-389J8.3	0.813509	0.133394
Atp2b2	0.475964	0.133394
Scgn	0.188029	0.133394
Ndufv3	0.162523	0.133394
Puf60	-0.133371	0.133394
Spopl	-0.148002	0.133394
Naprt	-0.160213	0.133394
Stx18	-0.213244	0.133394
RP24-146B4.2	-0.389078	0.133394
Lppr2	-0.417249	0.133394
Tmc8	-0.577333	0.133394
Dgki	-0.837039	0.133394
Mei1	-1.069493	0.133394
Crisp3	0.810512	0.13331
F5	0.354328	0.133241
Spta1	0.844649	0.133205
H2-Ke6	0.845764	0.133036
Bcas1os2	0.839793	0.133036
Gm14094	0.814381	0.133036
RP23-349L18.2	0.812968	0.133036
Reg1	0.806645	0.133036
Tgm4	0.789511	0.133036
Asphd2	0.555235	0.133036
Ddhd2	0.178854	0.133036
Lum	0.162701	0.133036
Usp32	0.143064	0.133036
Ndufb4	0.124058	0.133036
Mgat5	0.097946	0.133036
Stk25	-0.18129	0.133036
Pqlc2	-0.250622	0.133036
Psme2	-0.269612	0.133036
Gpx4	-0.290734	0.133036
Lef1	-0.722417	0.133036
Lhfpl5	-0.741318	0.133036
Rpl38	0.114857	0.132963
Gm6155	0.847399	0.132956
Tmtc1	0.224471	0.132871
Gm12850	0.997786	0.132816
Trim31	-0.159098	0.132652
Lgr4	-0.210791	0.132652
Khdc3	0.859136	0.132488
Rnase4	0.140347	0.132488
Dhx9	0.133951	0.132488
Gm26725	-0.589774	0.132488
Rnls	0.743957	0.132472
RP24-221A23.7	-0.449282	0.132472
Gtf2a1l	0.843887	0.132456
Dynlt1b	0.814413	0.132456
Gm15852	0.813858	0.132456
Gm9457	0.808641	0.132456
Gm20689	0.744009	0.132456
Pcdhb6	0.743984	0.132456
Asb5	0.743604	0.132456
Robo1	0.356785	0.132456
E230001N04Rik	0.332526	0.132456
Actr10	0.107148	0.132456
Tnrc18	-0.18749	0.132456
Coro1a	-0.275874	0.132456
Gtf3c4	-0.29825	0.132456
Tead4	-0.527731	0.132456
Kcnv1	-0.729303	0.132456
Zfp385c	0.825371	0.132325
Gm7867	0.743338	0.132293
Il1f8	0.981551	0.132078
Tgm5	0.845628	0.132078
RP23-12D3.6	0.845556	0.132078
Glycam1	0.812075	0.132078
Strc	0.782484	0.132078
Cacnb2	0.240747	0.132078
Ecm1	0.200328	0.132078
Zyx	0.164074	0.132078
Scamp5	0.157012	0.132078
Zfp426	-0.242282	0.132078
Dhdh	-0.264051	0.132078
Nat2	-0.490391	0.132078
Galnt18	0.439657	0.131903
A430108G06Rik	0.825924	0.131872
Pcmtd2	-0.193382	0.131872
RP24-547I3.2	0.81172	0.131829
Bckdha	0.224014	0.131829
Naa50	0.096188	0.131829
Scn3a	-0.249623	0.131829
C030034I22Rik	-0.36599	0.131829
Gm13712	0.900996	0.131814
Rdh11	0.186926	0.131707
Samd11	0.811566	0.131613
Tex10	0.167159	0.131613
RP24-159H19.2	-0.992937	0.131613
Senp2	-0.139611	0.131609
