	Log2(FC)	Log10(Adj. P-value)
Hhatl	0.508676	0.197805
RP24-540L1.3	0.552305	0.197783
Ndfip1	0.252797	0.197273
Itih4	1.422641	0.197153
Parvg	0.617237	0.197059
Gm20703	-1.040761	0.196834
Rcan1	-0.259823	0.196834
Rit2	-0.636455	0.196825
Diap2	0.16759	0.196825
Gm11966	0.350603	0.196825
Mfhas1	-0.199429	0.196799
Enpp3	0.474037	0.196799
Irgq	0.238309	0.196756
AI427809	0.18028	0.196652
Hist1h2ad	1.009106	0.196652
RP23-114N13.4	-0.345641	0.196376
Pomgnt2	0.305949	0.196376
Fastkd1	0.311796	0.19629
Mid2	-0.32092	0.19625
Crybb3	0.408116	0.19625
Etohd2	-0.734106	0.196244
Gm26521	0.856589	0.196244
Ilkap	-0.192116	0.196163
Mms19	0.191439	0.196163
Rassf10	0.582098	0.196163
Dmpk	0.19872	0.196104
RP24-142E6.4	-0.525017	0.195774
Hist2h2be	-0.304514	0.195774
Tbc1d1	-0.183229	0.195767
Msi2	-0.145694	0.195767
Spcs1	0.137689	0.195767
Atf3	-0.420543	0.195704
Prg2	0.511943	0.195636
Aebp2	-0.209257	0.195411
Tead2	0.363275	0.19541
Bhlhe41	-0.409488	0.195043
Lingo1	-1.298842	0.194908
Cox16	-1.035204	0.194908
2810474O19Rik	-0.126603	0.194908
E130308A19Rik	0.18956	0.194908
Gm9776	0.475903	0.194908
Gm4875	1.273661	0.194908
9930104L06Rik	-0.324126	0.194874
Actr8	-0.207542	0.19486
5-Sep	0.746192	0.19486
Kcnn1	0.774427	0.19486
Tmem240	0.922031	0.19486
Kdsr	0.177402	0.194821
Rab5c	0.136996	0.194648
Trappc1	-0.19394	0.1946
Lypla2	0.193208	0.19456
Tcp11l2	-0.342069	0.194559
Wbscr25	0.591855	0.194559
Huwe1	0.12612	0.194493
Cstf1	-0.240338	0.194303
Nt5dc3	0.362125	0.194303
Arntl2	-1.04677	0.194131
Slc1a5	0.153223	0.193933
RP23-478K4.3	0.736671	0.193648
Dhrs9	0.712568	0.193462
Mlxipl	-0.120812	0.193441
Fbxl12	-0.308847	0.193322
Pcm1	0.122502	0.193322
Ckmt1	0.181459	0.193322
Rph3a	0.737035	0.193322
Vip	0.187995	0.193192
Tinagl1	-0.300661	0.193043
Cdkl2	-0.313347	0.193016
Rgs12	0.284325	0.193016
Tceb3	-0.206632	0.192849
Rps3a2	-1.301151	0.192719
Rraga	-0.260494	0.192719
Gm24620	-1.364315	0.192703
Mgst3	-0.437636	0.192703
Agmo	-0.277952	0.192703
Krcc1	-0.189038	0.192703
Man1a2	0.111901	0.192703
Saal1	0.261778	0.192703
Nos2	-0.580351	0.19268
Gm15635	-1.041726	0.192533
RP23-461O23.2	-1.035518	0.192533
Mettl25	-0.738658	0.192533
Tal1	-0.599729	0.192533
Ston2	-0.578131	0.192533
Tmem39b	-0.511895	0.192533
Tfb1m	-0.385722	0.192533
Ocel1	-0.267729	0.192533
Gzf1	-0.249094	0.192533
Trappc3	-0.195628	0.192533
Ndufa8	-0.194559	0.192533
Rbm7	-0.188878	0.192533
Ncoa1	-0.183576	0.192533
Capn1	-0.147018	0.192533
Secisbp2l	-0.118822	0.192533
Akap9	-0.096166	0.192533
Ubr4	0.15983	0.192533
Phf5a	0.164739	0.192533
RP24-74O18.2	0.238215	0.192533
Senp3	0.326222	0.192533
Btbd19	0.386841	0.192533
Phf11b	0.410449	0.192533
Bex2	0.413325	0.192533
Tdg	0.439013	0.192533
Ccdc88b	0.445634	0.192533
RP23-93D12.2	0.50063	0.192533
Rgs9	0.532446	0.192533
Aldh1l2	0.542306	0.192533
Zfp146	0.737978	0.192533
Rab37	-0.383391	0.191755
Stk17b	-0.161715	0.191755
Cib2	0.386038	0.191755
Olfr56	-1.329956	0.191716
4933434E20Rik	-0.143647	0.191716
Mertk	0.17462	0.191716
Pdpr	0.303023	0.191716
Ccdc61	0.365788	0.191716
Gm17971	-0.566679	0.191684
Ccnk	-0.19742	0.19163
Trim33	-0.170444	0.19163
Pde9a	0.215151	0.19163
Rrp36	0.231872	0.19163
Nt5c3b	0.350348	0.19163
Tube1	-0.717923	0.191577
Fam96a	-0.175487	0.191577
Vapb	-0.11133	0.191577
Uqcrh	0.150174	0.191577
Mrps16	0.169772	0.191577
Nusap1	0.178327	0.191577
Alg8	0.23427	0.191577
Cbll1	-0.20853	0.191564
Caly	-1.149275	0.191524
Gm29008	0.738669	0.191524
Rad9b	0.61956	0.191482
Pik3ap1	-0.75793	0.191383
Cspp1	0.137111	0.191383
Tmod2	0.229493	0.191383
Tcaim	0.228418	0.191348
Dusp10	-0.555091	0.191292
Dnmt3a	0.124941	0.191292
Cisd1	0.132821	0.191292
Lingo4	0.600213	0.191292
Ino80dos	0.706979	0.191292
Plg	-1.353937	0.191027
Gm15268	-0.770673	0.191027
Barx2	-0.704476	0.191027
Naif1	-0.548005	0.191027
Plp1	-0.480171	0.191027
Cd3eap	-0.428062	0.191027
Rhbg	-0.320632	0.191027
Alkbh4	-0.312466	0.191027
Dzip3	-0.293858	0.191027
Sned1	-0.247107	0.191027
Gid4	-0.226719	0.191027
Mvk	-0.201181	0.191027
Sdc1	-0.147557	0.191027
Anp32a	0.132789	0.191027
Smc5	0.168462	0.191027
Ubc	0.173998	0.191027
Gmds	0.191291	0.191027
Napb	0.249475	0.191027
Kifc2	0.280497	0.191027
Pappa	0.306176	0.191027
Zfp60	0.396518	0.191027
Myt1l	0.767461	0.191027
Gab1	-0.320132	0.190497
Tmem5	-0.26939	0.190487
Gm10104	0.310635	0.190487
Lefty1	0.46694	0.190487
H2-K2	-1.050627	0.190226
Gm15056	1.216434	0.190226
Rpf1	-0.274372	0.190219
Pfkp	0.157655	0.190219
Jmjd6	0.158081	0.190219
Gm9320	-1.321134	0.190214
Pmf1	0.222467	0.189975
Znrf1	0.243906	0.189793
Gm22079	1.451374	0.189793
Trib1	-0.153723	0.189541
Ap1b1	0.15287	0.189303
Acot11	0.188996	0.189227
Cyp17a1	0.537124	0.189215
Slc27a4	0.242695	0.189153
1700054A03Rik	-1.096241	0.18915
0610007P14Rik	-0.159707	0.18915
Coa7	0.19298	0.18915
Gcn1l1	0.234782	0.188959
Gp49a	0.716563	0.188959
Gm8566	-0.884854	0.188708
Eva1a	-0.781214	0.188708
Ccdc148	-0.695806	0.188708
Gm17619	-0.516111	0.188708
2700081O15Rik	-0.363996	0.188708
Med14	0.175199	0.188708
Dmrt3	-1.048703	0.188614
Golim4	-0.124689	0.188614
Cd14	-0.447305	0.188428
Phka1	-0.304526	0.188428
Setd1b	-0.267175	0.188428
Nat8	-0.247746	0.188428
2-Mar	-0.134262	0.188428
Ankrd34a	0.922871	0.188428
Gm25190	1.044267	0.188428
Lgi1	1.044531	0.188428
RP23-242C11.1	1.044774	0.188428
Ccdc160	1.044855	0.188428
Hist1h2bm	1.0449	0.188428
Gm12207	1.043929	0.188212
Stk4	0.153143	0.188195
Bax	-0.264913	0.188186
Dpcd	0.195497	0.188186
Tub	0.820707	0.188186
BC003965	0.167996	0.188138
Gm24878	0.977856	0.188138
Rgs13	-0.318446	0.187847
Phf21a	-0.156156	0.187847
Eps8l2	-0.138337	0.1878
Fam195b	0.249938	0.1878
Hspb11	-0.463587	0.18761
Slc36a2	0.49727	0.18761
Arhgef15	-0.341199	0.187567
Ceacam16	1.540045	0.187567
Nrbf2	-0.639784	0.187372
Cd177	-0.89134	0.187342
Serpinb6b	-0.417964	0.187342
Zfp46	-0.282528	0.187342
Slc25a3	-0.179717	0.187342
Actr2	-0.168093	0.187342
Thoc7	-0.142114	0.187342
Smarca5	-0.140065	0.187342
Mrpl51	0.168946	0.187342
Ptrf	0.178181	0.187342
Dnah8	0.282778	0.187342
Dnm3	0.395927	0.187342
Bmx	0.500406	0.187342
A730017C20Rik	0.566313	0.187342
Defa-ps4	0.812805	0.187342
Arhgef19	-0.224612	0.187164
Grik4	1.045949	0.187146
Gm14567	-1.321816	0.187114
Adamts3	0.638655	0.187114
Grid2	1.189027	0.187114
Gm9817	-0.533928	0.187031
Zfp850	0.578392	0.187031
Tnfrsf11b	-0.557937	0.187012
Stx5a	0.165074	0.187012
Fam210b	-0.190244	0.186975
Gm26316	1.04871	0.186975
Lrrc2	1.048439	0.186897
Gart	-0.160567	0.186857
Igsf11	-1.0632	0.186769
Rpl36	-0.296205	0.186769
Klhl13	-0.287013	0.186769
Efr3a	-0.17496	0.186769
4833422C13Rik	0.503586	0.186769
Sugct	0.656813	0.186769
RP23-73N8.2	-0.63914	0.186701
Acot6	-0.276853	0.186701
Noc4l	0.265122	0.186701
BC064078	0.642488	0.186653
Pcif1	0.208019	0.186596
Galnt16	-0.698334	0.186291
Wnt6	0.657363	0.186291
Ces2c	0.758298	0.186291
Ldha	0.142462	0.185948
Chmp6	0.1846	0.185948
Rasd1	0.821522	0.185721
Psmd5	-0.271986	0.185721
Usp38	-0.262176	0.185721
Nags	0.181985	0.185721
1700017B05Rik	0.208463	0.185721
2210016L21Rik	0.211497	0.185721
Btnl9	0.655322	0.185721
Dennd2c	0.738833	0.185721
Abcb8	-0.26768	0.185706
Colgalt1	0.166391	0.185706
Gm4876	1.043779	0.185706
RP24-188H2.6	0.714003	0.185238
Rabgef1	0.20807	0.184748
Zcchc2	0.189043	0.184677
Dbndd2	-0.323897	0.18411
Gm10044	0.538192	0.18411
Htr1b	-0.698414	0.184095
Arpp19	0.123067	0.184095
Cox20	-0.120932	0.184037
Tmem261	0.18931	0.183854
Amz1	-0.347928	0.18384
Dcp1b	-0.307641	0.183808
Bdnf	-0.804189	0.183749
1190007I07Rik	-0.437217	0.183667
Ksr1	0.169049	0.183641
Zfp449	-0.636606	0.183579
A930038B10Rik	-0.804045	0.183368
Sbspon	-0.476482	0.183368
Tsnax	-0.414403	0.183368
Nostrin	-0.138562	0.183368
Sntg2	0.281277	0.183368
Gm23751	0.549025	0.183368
Zfp105	1.040295	0.183368
Insr	0.166177	0.183357
Gm16230	-1.147296	0.183283
Ikzf3	0.409035	0.183247
Gm23924	1.494734	0.182899
Fam45a	-0.26103	0.182507
Cpne7	0.812137	0.182129
Fubp3	-0.214261	0.182078
Hnrnpm	-0.130078	0.182033
Sdf4	0.118574	0.182033
Mcm4	-0.339783	0.181812
Dscc1	-0.65909	0.181789
Prelp	0.165383	0.181789
Mst1	1.038323	0.181789
Ccdc65	1.216238	0.181789
Gm13822	-0.819136	0.181763
Cyp4b1	-0.28304	0.181579
Ccar2	0.58196	0.181478
Osr1	-0.377843	0.18146
Cask	-0.136694	0.18146
Gm26787	1.047369	0.18146
Dpysl4	-0.80231	0.18136
Stra6	0.888437	0.181081
Zfp185	-0.980615	0.18082
Larp7	0.207587	0.18082
Arl5a	0.219693	0.180588
Apod	0.37739	0.180588
Prkd3	0.17308	0.18055
Rab33a	-0.803274	0.180131
Ist1	-0.133656	0.180063
Kcnk1	0.157018	0.180063
Hoxb1	-1.422006	0.180015
B430010I23Rik	-0.374957	0.180015
C030034I22Rik	-0.414349	0.179948
St8sia1	1.040618	0.179855
Fcnaos	-1.031154	0.179382
4930512H18Rik	-1.336409	0.178879
Arl4c	0.26486	0.178773
Gm26591	0.488314	0.178768
1700056E22Rik	0.765463	0.178718
4930404N11Rik	-0.782818	0.178582
Zfp213	-0.488124	0.178582
Zcchc14	-0.390156	0.178582
Nid2	-0.304769	0.178582
Dgat1	0.167035	0.178582
Gm10221	0.29085	0.178582
Tmem154	0.338653	0.178582
Hyal3	0.969866	0.178582
4930439D14Rik	-1.16807	0.178228
Nfatc2	0.308355	0.17795
Gm10544	1.036741	0.177878
Gm8730	0.415314	0.177857
Mmp12	1.043529	0.177857
Slc30a10	0.348286	0.177779
Arfgef2	0.172096	0.177761
Imp3	0.137205	0.177437
A430035B10Rik	0.306245	0.177437
Gm11942	0.960738	0.177437
Snord37	1.152519	0.177437
Maoa	-0.186279	0.1774
Adck3	0.237517	0.177278
Ppp1r26	-0.435593	0.177174
B4galnt4	-1.1358	0.176811
Mageh1	-0.261548	0.176757
Adrm1	0.282917	0.176495
RP23-171A13.10	1.040015	0.176454
Gm26767	-1.410599	0.176383
Gm4294	-1.371552	0.176383
Cyp8b1	-1.363572	0.176383
Cdh22	-1.360732	0.176383
Sowahd	-1.338873	0.176383
Gm12760	-1.318634	0.176383
Tmem169	-1.260083	0.176383
Gm14088	-1.158008	0.176383
Gm27011	-1.150961	0.176383
Ccdc79	-1.149162	0.176383
Ccl3	-1.115834	0.176383
1700023F06Rik	-1.110634	0.176383
Gm26793	-1.05024	0.176383
Bloc1s6os	-0.977333	0.176383
Gm15270	-0.948831	0.176383
Actn2	-0.9074	0.176383
Ccr3	-0.898682	0.176383
5830454E08Rik	-0.823823	0.176383
RP23-247F18.6	-0.82354	0.176383
Unc79	-0.803279	0.176383
Cdkn2a	-0.790043	0.176383
RP24-286H7.2	-0.697052	0.176383
Rsph3a	-0.688184	0.176383
Bbs1	-0.642176	0.176383
Tvp23a	-0.633806	0.176383
Unc93a	-0.590629	0.176383
RP23-293I7.4	-0.587663	0.176383
Ctnnd1	-0.575003	0.176383
Gm10073	-0.538697	0.176383
Bambi	-0.537771	0.176383
Zfp930	-0.51643	0.176383
Slc25a22	-0.499647	0.176383
D16Ertd472e	-0.477964	0.176383
Sp3os	-0.474831	0.176383
0610009B22Rik	-0.463295	0.176383
4933405D12Rik	-0.453376	0.176383
Gm16014	-0.447411	0.176383
Tpd52l1	-0.438199	0.176383
Nmur2	-0.435227	0.176383
Ajuba	-0.433036	0.176383
RP24-468O23.2	-0.431072	0.176383
Bloc1s3	-0.430768	0.176383
Ptger3	-0.430037	0.176383
Akr1b8	-0.429771	0.176383
Igkc	-0.423292	0.176383
Btnl5-ps	-0.423144	0.176383
Pfn2	-0.415989	0.176383
Chst8	-0.415816	0.176383
Fam161a	-0.405797	0.176383
Gm11488	-0.389179	0.176383
3010003L21Rik	-0.388241	0.176383
Rad54l	-0.365489	0.176383
Tdp1	-0.36466	0.176383
Dnaaf1	-0.364144	0.176383
Sh3gl1	-0.35831	0.176383
Zfyve1	-0.354823	0.176383
Eaf1	-0.336926	0.176383
Ak4	-0.33632	0.176383
RP23-116P18.2	-0.335628	0.176383
Tmem194	-0.333275	0.176383
Iqcc	-0.333147	0.176383
Pdzd2	-0.319664	0.176383
Zc3h7b	-0.285876	0.176383
Ndufa4	-0.272382	0.176383
Odf3b	-0.27207	0.176383
Psme2	-0.266916	0.176383
Gdap10	-0.265785	0.176383
Srd5a3	-0.264994	0.176383
Bloc1s4	-0.258758	0.176383
Ttc39c	-0.255141	0.176383
Dock6	-0.250899	0.176383
B4galt5	-0.24376	0.176383
Gla	-0.24223	0.176383
Tfap4	-0.240817	0.176383
Ece1	-0.240633	0.176383
Txndc12	-0.239557	0.176383
Ranbp9	-0.237647	0.176383
Thap7	-0.237308	0.176383
Bcap29	-0.232695	0.176383
Itm2c	-0.230579	0.176383
RP23-220D12.13	-0.229705	0.176383
Bid	-0.223761	0.176383
Bap1	-0.223331	0.176383
Hsd17b13	-0.221623	0.176383
Ccdc84	-0.22082	0.176383
Cox11	-0.220187	0.176383
Rsrp1	-0.218699	0.176383
Tbce	-0.213787	0.176383
Thsd4	-0.211418	0.176383
Rbm12	-0.209977	0.176383
Cetn2	-0.209104	0.176383
Zbtb33	-0.204928	0.176383
Zfp866	-0.202097	0.176383
Pls1	-0.201595	0.176383
Tmem159	-0.199577	0.176383
Sdcbp2	-0.19529	0.176383
Car8	-0.195261	0.176383
Spg21	-0.187585	0.176383
Tmem120a	-0.186579	0.176383
Tbcel	-0.182061	0.176383
Rnf14	-0.180611	0.176383
Armc8	-0.180002	0.176383
Laptm4b	-0.179075	0.176383
Osbpl3	-0.17883	0.176383
Timm17b	-0.172244	0.176383
Igf2bp2	-0.171068	0.176383
Atf2	-0.166147	0.176383
Hpgd	-0.162541	0.176383
Surf1	-0.162446	0.176383
Stk3	-0.161084	0.176383
Sec11a	-0.15943	0.176383
Mrpl33	-0.155919	0.176383
Klk1	-0.155253	0.176383
Mkks	-0.149746	0.176383
Crebrf	-0.148193	0.176383
Nlrp6	-0.142543	0.176383
Csrp2	-0.141266	0.176383
Ccdc186	-0.140191	0.176383
Slco2a1	-0.137944	0.176383
Vps36	-0.137693	0.176383
Ttc9c	-0.13557	0.176383
Aig1	-0.124599	0.176383
5830428H23Rik	-0.12271	0.176383
1810022K09Rik	-0.121007	0.176383
Nfib	-0.110035	0.176383
Tax1bp1	-0.093072	0.176383
Thoc2	0.094054	0.176383
Ddx46	0.108133	0.176383
Etf1	0.112199	0.176383
Cd81	0.116832	0.176383
Baz1b	0.11694	0.176383
Ppm1b	0.117421	0.176383
Mlec	0.13159	0.176383
Whsc1	0.132185	0.176383
Eif2s2	0.135043	0.176383
Socs2	0.135892	0.176383
Cnot10	0.14837	0.176383
Spast	0.148481	0.176383
Cped1	0.161229	0.176383
Ipo5	0.162342	0.176383
Rpl13a	0.167216	0.176383
Mrps30	0.167982	0.176383
Casp8ap2	0.168032	0.176383
Poldip2	0.168973	0.176383
Gpi1	0.177963	0.176383
Ddx27	0.179062	0.176383
Urah	0.179901	0.176383
Selo	0.182673	0.176383
Cstf3	0.185037	0.176383
G6pdx	0.186232	0.176383
Aspm	0.187777	0.176383
Slc19a1	0.18861	0.176383
Dync1h1	0.190876	0.176383
Lrrcc1	0.190899	0.176383
1110008P14Rik	0.191807	0.176383
Usp36	0.19247	0.176383
Fbxw5	0.192664	0.176383
Prc1	0.199272	0.176383
Ano10	0.199486	0.176383
Rbl2	0.200545	0.176383
DHRSX	0.200723	0.176383
Prpf31	0.201513	0.176383
Chrac1	0.201923	0.176383
Lgals9	0.203901	0.176383
Fbxl22	0.209375	0.176383
B4galnt1	0.215214	0.176383
Zfp462	0.215757	0.176383
Chl1	0.217233	0.176383
Ccdc3	0.218558	0.176383
Hilpda	0.227205	0.176383
Nfkbil1	0.230263	0.176383
Vgll4	0.232608	0.176383
Fmnl2	0.233723	0.176383
Mvb12b	0.23408	0.176383
Tmem201	0.244072	0.176383
Endog	0.244129	0.176383
Noxa1	0.247352	0.176383
Rfc5	0.252	0.176383
Lrpprc	0.258818	0.176383
Dctn1	0.266409	0.176383
Rgs4	0.271797	0.176383
Ccdc22	0.277147	0.176383
B3galnt1	0.280315	0.176383
mt-Tm	0.285515	0.176383
Cryab	0.287958	0.176383
Rhobtb2	0.288865	0.176383
Eef1e1	0.289273	0.176383
Traf2	0.301956	0.176383
Gm11221	0.307968	0.176383
Magee1	0.309403	0.176383
Casp3	0.323863	0.176383
Gprc5a	0.328932	0.176383
Nmb	0.335094	0.176383
Myo1f	0.351331	0.176383
Plk3	0.352067	0.176383
Rrm2b	0.356159	0.176383
Wdr92	0.3578	0.176383
P2rx1	0.373752	0.176383
Fam149a	0.37427	0.176383
Ugt1a1	0.379685	0.176383
Gm5431	0.385403	0.176383
Rps6ka6	0.388703	0.176383
Slain1	0.419218	0.176383
9330159M07Rik	0.426577	0.176383
Sapcd2	0.432388	0.176383
Batf3	0.435941	0.176383
Gzma	0.450593	0.176383
Gm9920	0.476422	0.176383
Tmod1	0.478147	0.176383
Gm17077	0.490346	0.176383
Fcrla	0.495759	0.176383
Lmln	0.497504	0.176383
Tmem138	0.497834	0.176383
Amigo3	0.511142	0.176383
Gm9581	0.513519	0.176383
Slc9a5	0.515201	0.176383
Ppp1r13l	0.533415	0.176383
Tpcn2	0.568288	0.176383
Cd40	0.604315	0.176383
RP23-380F8.3	0.610348	0.176383
Ltb	0.622423	0.176383
Arl5c	0.635171	0.176383
Tmem194b	0.652385	0.176383
Stx11	0.679137	0.176383
Etohi1	0.701215	0.176383
Il12rb1	0.712433	0.176383
Tlr1	0.747554	0.176383
Dnah5	0.770398	0.176383
Snord16a	0.775755	0.176383
AV099323	0.798791	0.176383
Gprin1	0.84119	0.176383
Timm8a2	0.902756	0.176383
A3galt2	0.930956	0.176383
Lrrc39	0.931017	0.176383
Gm17200	0.931608	0.176383
Ranbp17	0.93204	0.176383
RP23-290N20.1	1.006976	0.176383
Mecomos	1.009786	0.176383
Kif17	1.009931	0.176383
Tpte	1.009967	0.176383
RP23-216O10.6	1.010854	0.176383
Ccdc89	1.011017	0.176383
Adam18	1.011045	0.176383
Gm7599	1.011116	0.176383
Mir1195	1.011495	0.176383
Gm28112	1.011497	0.176383
Lhx3	1.011523	0.176383
Pou3f4	1.011761	0.176383
Nkain1	1.011769	0.176383
Msx3	1.011826	0.176383
Lpo	1.011834	0.176383
Rps12-ps1	1.011911	0.176383
Tcfl5	1.011927	0.176383
Gm807	1.012069	0.176383
Kcnab3os	1.012092	0.176383
Gm8669	1.012092	0.176383
4732456N10Rik	1.012092	0.176383
Gm11810	1.012092	0.176383
4932430I15Rik	1.012092	0.176383
Gm13472	1.012092	0.176383
Gm12976	1.012092	0.176383
Rpl32-ps	1.012092	0.176383
Dusp15	1.012094	0.176383
Dhx58os	1.012094	0.176383
Gm26756	1.012094	0.176383
Comp	1.012095	0.176383
Rpl7a-ps10	1.012096	0.176383
Ces3a	1.012097	0.176383
Gm2449	1.012099	0.176383
Ankrd61	1.012099	0.176383
Gm15201	1.012101	0.176383
Cyp4f41-ps	1.012105	0.176383
Lrrc36	1.012109	0.176383
Gm12337	1.012112	0.176383
Pcdhb6	1.012148	0.176383
Mill2	1.012174	0.176383
Gpr33	1.012237	0.176383
Crhbp	1.012237	0.176383
Snord91a	1.012237	0.176383
Mir141	1.012237	0.176383
Gm26667	1.012237	0.176383
Gm28049	1.012237	0.176383
Snord4a	1.012237	0.176383
Slc22a2	1.012237	0.176383
Aldh8a1	1.012237	0.176383
Masp2	1.012237	0.176383
Pcdhgb1	1.012237	0.176383
Gm11638	1.012237	0.176383
Gm6311	1.012237	0.176383
Slc4a9	1.012237	0.176383
Gm15416	1.012238	0.176383
RP23-160G19.9	1.012239	0.176383
Gm29019	1.012239	0.176383
Tprg	1.012239	0.176383
1600002D24Rik	1.012242	0.176383
Gm15779	1.012242	0.176383
Gm24525	1.012245	0.176383
2410137M14Rik	1.012253	0.176383
Gm12168	1.012253	0.176383
Gm8649	1.012253	0.176383
1810059C17Rik	1.012253	0.176383
Ugt2b37	1.012253	0.176383
Gm27675	1.012253	0.176383
Gm12599	1.012254	0.176383
RP24-300C19.1	1.012254	0.176383
Gm12013	1.012254	0.176383
Lrrc7	1.012255	0.176383
Ros1	1.012255	0.176383
Grip1os1	1.012256	0.176383
Gm26703	1.012256	0.176383
A330040F15Rik	1.012259	0.176383
Gm20386	1.012263	0.176383
Gm11973	1.012264	0.176383
1700001L19Rik	1.012265	0.176383
Vwc2l	1.012274	0.176383
Adap2os	1.012274	0.176383
Erich6	1.012274	0.176383
4933427E11Rik	1.012274	0.176383
Gm25328	1.012274	0.176383
Abca13	1.012274	0.176383
Pdx1	1.012274	0.176383
Fam227b	1.012275	0.176383
Gm12996	1.012275	0.176383
Fam163b	1.012276	0.176383
Gm7701	1.012277	0.176383
Gm7224	1.012277	0.176383
Gm11989	1.012277	0.176383
Glrp1	1.012277	0.176383
Gm14407	1.012277	0.176383
Syce1l	1.012278	0.176383
Gm16335	1.012278	0.176383
Zfp872	1.012278	0.176383
Gm14323	1.012278	0.176383
Psg17	1.012279	0.176383
Gm10268	1.01228	0.176383
Gm11665	1.012281	0.176383
Gm3636	1.012281	0.176383
Kctd8	1.012284	0.176383
RP23-320P13.1	1.01229	0.176383
Rpl10a-ps2	1.01229	0.176383
Tff1	1.01229	0.176383
Gpr110	1.01229	0.176383
Prss33	1.01229	0.176383
RP23-124N16.4	1.01229	0.176383
1700119I11Rik	1.01229	0.176383
Gm15372	1.01229	0.176383
Gm7278	1.012291	0.176383
Gm29361	1.012291	0.176383
D930048G16Rik	1.012291	0.176383
Gm26696	1.012291	0.176383
4931423N10Rik	1.012291	0.176383
Srd5a2	1.012291	0.176383
Gm5424	1.012292	0.176383
Gm3695	1.012292	0.176383
Gm28723	1.012294	0.176383
Bhlha9	1.012295	0.176383
Gm23804	1.0123	0.176383
Umodl1	1.0123	0.176383
Gm5566	1.0123	0.176383
Cd1d2	1.0123	0.176383
Gm13837	1.0123	0.176383
Eddm3b	1.0123	0.176383
Cfap61	1.0123	0.176383
4930500M09Rik	1.0123	0.176383
Gm20544	1.0123	0.176383
Ankrd34b	1.0123	0.176383
Gm26778	1.0123	0.176383
Gm20620	1.012301	0.176383
RP23-156A3.1	1.012302	0.176383
2700069I18Rik	1.012302	0.176383
Csmd2	1.012303	0.176383
4921536K21Rik	1.012494	0.176383
Gm12057	1.01254	0.176383
Gm11527	1.012541	0.176383
Gm28535	1.012541	0.176383
Rpl21-ps5	1.012545	0.176383
Gm15661	1.012545	0.176383
A730061H03Rik	1.012545	0.176383
Gm12737	1.012545	0.176383
Gm21917	1.012546	0.176383
Gm13859	1.012546	0.176383
Gm23523	1.012546	0.176383
Gm6565	1.012547	0.176383
Gm5864	1.012548	0.176383
A530058N18Rik	1.012626	0.176383
Tacstd2	1.012648	0.176383
Ugt2b1	1.012652	0.176383
Gm22516	1.012656	0.176383
Gm13623	1.012659	0.176383
Kpna2-ps	1.012664	0.176383
Gm16316	1.012667	0.176383
BC039966	1.01267	0.176383
Gm13597	1.01267	0.176383
Ttbk1	1.012787	0.176383
Foxn1	1.012805	0.176383
Gm29430	1.012809	0.176383
4933440M02Rik	1.012825	0.176383
RP24-272N10.3	1.012825	0.176383
Gm7099	1.012829	0.176383
11-Mar	1.012829	0.176383
Psca	1.012834	0.176383
Ceacam12	1.016987	0.176383
Rps19-ps6	1.01851	0.176383
Slc6a15	1.027155	0.176383
BC006965	1.030534	0.176383
Gm16437	1.031893	0.176383
Hoxc10	1.034708	0.176383
RP23-433P9.4	1.038232	0.176383
Klk1b4	1.038614	0.176383
Gm27195	1.041275	0.176383
Lrrtm1	1.04235	0.176383
Gm26766	1.045463	0.176383
Gm11805	1.045649	0.176383
Arhgap27os1	1.047446	0.176383
Gpr88	1.053521	0.176383
Gm20775	1.063003	0.176383
Ccdc155	1.075413	0.176383
Krt4	1.077058	0.176383
Gm21859	1.11365	0.176383
Qrfp	1.143617	0.176383
RP24-123J3.2	1.152967	0.176383
Rpl23a-ps5	1.201983	0.176383
3110035E14Rik	1.219155	0.176383
Gm15190	1.225865	0.176383
Gm10126	1.243497	0.176383
1810064F22Rik	1.267378	0.176383
Gm23119	1.307097	0.176383
Gm10401	1.426936	0.176383
Cdk19os	1.63315	0.176383
Gm13160	-1.242881	0.176376
Nr6a1	-0.225711	0.176376
Alkbh5	-0.198103	0.176376
Eif4enif1	-0.163121	0.176376
Nfatc2ip	0.205652	0.176376
Pnkd	0.286481	0.176376
B4galt7	0.289789	0.176376
RP23-115I1.6	1.00646	0.176376
Cpb2	1.009884	0.176376
Gm5540	1.010733	0.176376
Gm5387	1.011113	0.176376
Cd209f	-0.4833	0.176288
Cd274	-0.338387	0.176288
Pstk	-0.336374	0.176288
Tlcd2	-0.208694	0.176288
Liph	-0.15993	0.176288
Mrpl15	0.125792	0.176288
Pcp4l1	0.163628	0.176288
Mxra8	0.17817	0.176288
Pbdc1	0.194358	0.176288
4632428C04Rik	0.938593	0.176288
Gm15228	1.005152	0.176288
Rnu1b6	1.008532	0.176288
Slc15a5	1.009046	0.176288
Mannr	1.009302	0.176288
Gm11930	1.010318	0.176288
Gm8787	1.010346	0.176288
Rps15a-ps1	1.011252	0.176288
Csn2	1.011259	0.176288
Caln1	1.011319	0.176288
Tmem150cos	1.063407	0.176288
Psg25	1.010015	0.176163
Ptbp1	0.166754	0.175704
Klk1b7-ps	1.009645	0.175704
Prmt10	-0.22225	0.175685
Tnpo2	0.168066	0.175512
Gm22043	1.008424	0.175512
2210017G18Rik	-0.289704	0.175491
