	log2(fc)	log10(adj. p-value)
Itgam	0.269507	0.168636
Hmbs	0.277573	0.168636
Pde8a	0.362268	0.168636
Mansc1	0.53753	0.168636
Dusp4	0.550375	0.168636
Gm25313	0.591319	0.168636
Rfc2	-0.208344	0.16839
Fam98a	0.28898	0.16839
BC022687	-0.635478	0.168281
Rpl31-ps8	-0.197616	0.167946
Htr2b	-0.644875	0.167851
Scgb1a1	-0.624561	0.167851
Gm15441	-0.624294	0.167851
Slc6a13	-0.578888	0.167851
Gpr37	-0.497702	0.167851
Tmem52	-0.486726	0.167851
Sez6l2	-0.480205	0.167851
Gfra1	-0.442399	0.167851
Pgr15l	-0.428785	0.167851
Cbln4	-0.411013	0.167851
Zfp938	-0.2739	0.167851
Foxa2	-0.27054	0.167851
Gnb4	-0.263633	0.167851
Enthd2	-0.215962	0.167851
Gga1	-0.189016	0.167851
Pgrmc2	-0.15433	0.167851
Wnk1	0.129345	0.167851
Slc13a1	0.206084	0.167851
Sgol1	0.272113	0.167851
Gdap10	0.330158	0.167851
Magix	0.500702	0.167851
Gm11131	0.525519	0.167851
Gm20692	-0.40868	0.167753
Gm4955	-0.59291	0.167627
Thumpd2	-0.611518	0.167516
BC067074	-0.558972	0.167516
RP23-474B13.2	-0.536593	0.167516
Mast1	-0.53551	0.167516
RP23-456B9.18	-0.520511	0.167516
Cr2	-0.500439	0.167516
Gm28659	-0.424017	0.167516
Slc15a5	-0.415638	0.167516
Trip6	-0.272492	0.167516
Myl6	-0.225896	0.167516
Bms1	-0.185573	0.167516
Crbn	-0.169148	0.167516
Dpyd	0.20282	0.167516
Ocrl	0.236582	0.167516
Nudc	0.263302	0.167516
Fstl3	0.309093	0.167516
Tsnax	0.399994	0.167516
Nrg3	0.450198	0.167516
Jph1	0.511913	0.167516
Calr-ps	0.521753	0.167516
Barx2	0.534157	0.167516
Slc27a6	-0.412619	0.167409
Fam213a	0.236694	0.167305
Gm24299	-0.50489	0.167192
Hcn4	-0.48207	0.167188
C1qtnf1	-0.444899	0.167188
Rusc1	-0.243677	0.167188
Sipa1l1	0.203725	0.167188
Nit2	0.337384	0.167188
Tmem243	0.364334	0.167188
Zfp7	0.345823	0.167169
Mtcp1	-0.672945	0.167153
Timm10	-0.228875	0.167153
Mrps26	-0.18807	0.167153
Gm26797	-0.550915	0.167123
Matr3-ps2	-0.486602	0.167123
Kcna6	-0.424583	0.167123
Apol7d	-0.411013	0.167123
Gm1992	-0.402957	0.167123
Zfp354c	-0.398547	0.167123
Zfp444	-0.36188	0.167123
Hcfc1	0.160984	0.167123
Plcb4	0.246294	0.167123
Sorbs2	0.259957	0.167123
Srm	0.284434	0.167123
Micu3	0.383385	0.167123
Mfsd2b	0.616305	0.167123
Pwwp2a	0.177515	0.167045
Gdf9	-0.652106	0.167022
Snap47	-0.278985	0.167022
Zfp622	-0.184203	0.167022
2810455O05Rik	-0.472152	0.166951
Igkj4	-0.424017	0.166951
Cops8	0.160446	0.166951
Pi15	0.489329	0.166951
Frem2	0.551309	0.166951
Pla2g4c	-0.429591	0.166838
Gm12691	-0.428785	0.166838
Gm2396	-0.389301	0.166838
2810408M09Rik	-0.297582	0.166838
Elk3	-0.2727	0.166838
Gabpb1	-0.264486	0.166838
Pam16	-0.215333	0.166838
Cdk14	0.308347	0.166838
Brsk1	0.578846	0.166838
D630011A20Rik	-0.617998	0.166737
Sec22a	-0.183706	0.166737
Slc12a2	0.11625	0.166737
Gm12219	-0.405514	0.166644
Gtf3c6	0.199947	0.166644
Rfx3	0.349059	0.166644
1700019D03Rik	0.515475	0.166644
Agbl4	-0.483273	0.166615
Zfp235	-0.411013	0.166615
Stmn3	-0.35937	0.166615
Gxylt1	0.155985	0.166615
Zfand5	0.18371	0.166615
Gm12153	-0.394488	0.16646
Cox6c	-0.143954	0.16646
Mrpl4	-0.206448	0.16645
Ppil1	-0.156138	0.16645
Nop2	0.225565	0.16642
Gm13248	-0.662286	0.166227
A430105J06Rik	-0.641356	0.166227
Fpr1	-0.623968	0.166227
F730016J06Rik	-0.611464	0.166227
RP23-365F1.5	-0.608109	0.166227
Plin5	-0.590875	0.166227
Art5	-0.57939	0.166227
RP24-127E11.2	-0.554016	0.166227
C1qtnf4	-0.526876	0.166227
2310069B03Rik	-0.469238	0.166227
Sun3	-0.450659	0.166227
Ighv4-1	-0.439707	0.166227
Tcp10b	-0.428785	0.166227
Gm14124	-0.428785	0.166227
Gm15902	-0.428785	0.166227
RP24-485J8.3	-0.428785	0.166227
Prf1	-0.424017	0.166227
D830039M14Rik	-0.424017	0.166227
Satl1	-0.421723	0.166227
Oscar	-0.418584	0.166227
Tomt	-0.411013	0.166227
Mak	-0.405514	0.166227
Gm26523	-0.405514	0.166227
S100a3	-0.402957	0.166227
Cela1	-0.377793	0.166227
Endov	-0.358986	0.166227
Acyp1	-0.357528	0.166227
Atg7	-0.282923	0.166227
Zfp747	-0.258906	0.166227
Psd4	-0.232433	0.166227
Nts	-0.205296	0.166227
Sart1	-0.19986	0.166227
Aldh1l1	-0.178762	0.166227
Copa	-0.171197	0.166227
Gss	-0.167621	0.166227
Cftr	-0.149439	0.166227
Pithd1	-0.147253	0.166227
Cdh1	-0.134862	0.166227
Mtfr1l	-0.128531	0.166227
Chic2	-0.12366	0.166227
Cnot6	0.113493	0.166227
Ktn1	0.130659	0.166227
Chordc1	0.171924	0.166227
Vps4a	0.175145	0.166227
Lars	0.198218	0.166227
Acap2	0.251138	0.166227
Osbpl1a	0.256602	0.166227
Wdr12	0.27409	0.166227
Slc35c2	0.27634	0.166227
Dis3	0.308336	0.166227
Med6	0.315354	0.166227
Gdpd3	0.331398	0.166227
Ndufaf1	0.352984	0.166227
E2f6	0.358042	0.166227
Zgrf1	0.419074	0.166227
Trim14	0.453785	0.166227
Fut7	0.47208	0.166227
Agrp	0.509869	0.166227
Zfp335os	0.527367	0.166227
Gm19569	0.532823	0.166227
Spns3	0.570589	0.166227
Elovl4	0.588771	0.166227
Ttc26	0.592741	0.166227
Emc2	-0.158427	0.166211
Cxcl9	0.582064	0.166074
Paox	-0.234396	0.166054
Arrb1	-0.165893	0.166054
Gpn1	0.245586	0.165922
Larp1b	0.139174	0.165808
Mvb12a	-0.17495	0.165803
Gm3788	-0.52697	0.165713
Smcr8	0.264563	0.165713
Usp15	0.198223	0.16528
Cst7	-0.674076	0.165258
Gm8705	-0.40868	0.165258
C4b	-0.298475	0.165258
Cyp4v3	-0.193513	0.165258
Uhrf1bp1	0.429342	0.165258
Efcab1	0.583643	0.165258
Crlf1	-0.653011	0.165101
Zscan25	-0.573782	0.165101
Gm26894	-0.564219	0.165101
Bmp6	-0.428785	0.165101
Gm12981	-0.428785	0.165101
Gm8093	-0.40868	0.165101
Gm23368	-0.402957	0.165101
Gne	-0.286898	0.165101
Dxo	-0.269218	0.165101
Creb3l4	-0.255816	0.165101
Gm10288	-0.214692	0.165101
Ecsit	-0.206922	0.165101
Plekhm1	-0.201478	0.165101
Gde1	-0.189981	0.165101
Bad	-0.187417	0.165101
Mtch1	-0.158601	0.165101
Pde4d	0.214057	0.165101
Hace1	0.331722	0.165101
Gadd45b	0.341442	0.165101
Rnps1	0.408654	0.165101
Plch1	0.458844	0.165101
Gm5637	-0.422232	0.165061
Usp21	-0.324029	0.165061
Tmem261	0.193452	0.165061
S100g	-0.542709	0.164928
RP23-204N23.3	-0.411013	0.164928
Natd1	-0.301201	0.164928
Rtn4ip1	-0.225149	0.164928
Ptchd1	0.536683	0.164928
Klhl36	0.576073	0.164924
Ntsr2	-0.540343	0.164847
Zfp939	-0.469926	0.164847
Upk1a	-0.46578	0.164847
2010009K17Rik	-0.460387	0.164847
Trabd2b	-0.454173	0.164847
RP23-117E23.1	-0.443596	0.164847
Gm14861	-0.428785	0.164847
4833413E03Rik	-0.424017	0.164847
Gm12057	-0.394488	0.164847
A630072M18Rik	-0.336309	0.164847
Timmdc1	-0.305459	0.164847
Rhobtb1	-0.293081	0.164847
Ethe1	-0.273186	0.164847
Slc2a5	-0.205631	0.164847
Copb2	0.127177	0.164847
9930021J03Rik	0.142033	0.164847
Herpud1	0.14245	0.164847
Abcb7	0.225121	0.164847
Snrpa	0.395442	0.164847
Gm26620	-0.638929	0.164832
Prima1	-0.394488	0.164832
Uqcc1	0.167934	0.164832
RP23-293I7.7	0.58656	0.164832
Gm11636	-0.428785	0.164771
Pex11g	-0.221913	0.164771
Nedd9	-0.172691	0.164771
Ehf	0.184974	0.164771
Efcab11	0.629222	0.164771
H2-Q5	-0.405514	0.164767
Plagl2	0.255872	0.164767
Vps11	0.310689	0.164767
Gm15824	-0.437244	0.164688
Gtf2a2	0.176925	0.164688
Fez2	-0.174419	0.164629
Gm13009	-0.563037	0.164606
Gm12915	-0.405406	0.164606
Gm26287	-0.402957	0.164606
Pacs2	-0.208611	0.164606
Parm1	-0.177856	0.164606
Mospd1	0.280684	0.164606
Endou	0.63427	0.164606
Fam131a	0.672492	0.164606
Letm2	-0.486697	0.164574
Zkscan2	-0.405514	0.164574
Gm5644	-0.596969	0.16438
Rnft1	-0.180978	0.16438
Mfsd7c	-0.631817	0.163895
Gm20644	-0.573378	0.163895
Krt35	-0.470702	0.163895
Zkscan14	-0.438303	0.163895
Tmed1	-0.437009	0.163895
Gas2l2	-0.411013	0.163895
A530083I20Rik	-0.394488	0.163895
Gdpd2	-0.278781	0.163895
Tmem64	-0.261594	0.163895
Nr1i2	-0.200768	0.163895
AK010878	-0.198124	0.163895
Sirt7	-0.164379	0.163895
Cyld	-0.139215	0.163895
Ndufb5	-0.135904	0.163895
Rpl31	-0.130879	0.163895
Usp25	0.155268	0.163895
Crnkl1	0.222735	0.163895
Cep290	0.267469	0.163895
Znrf1	0.292479	0.163895
Klhl28	0.371866	0.163895
Llgl1	0.38052	0.163895
Tesc	0.425359	0.163895
9530080O11Rik	0.45904	0.163895
Arx	0.536024	0.163895
Zbtb46	-0.300347	0.163845
Soga3	-0.43355	0.163833
Btnl4	-0.594034	0.163726
Gm10263	-0.571008	0.163726
Gm16585	-0.40868	0.163726
Gm14320	-0.394488	0.163726
Ppp1r1a	-0.359081	0.163726
Lace1	-0.313222	0.163726
Mrps9	-0.177141	0.163726
Eif3c	0.116375	0.163726
Pdss1	0.167361	0.163726
Apobec3	0.226393	0.163726
Shpk	0.255218	0.163726
Ewsr1	0.277856	0.163726
Ccr2	0.440887	0.163726
Gm13422	0.618611	0.163726
Ky	-0.421645	0.163721
RP23-380A10.5	-0.406158	0.163721
Hormad2	-0.402957	0.163721
Gm7670	-0.402957	0.163721
Igfbp6	-0.401725	0.163721
Bckdha	-0.378326	0.163721
Lynx1	-0.375648	0.163721
Polr3gl	-0.229079	0.163721
Mtmr3	-0.164115	0.163721
Atp5o	-0.140751	0.163721
Nom1	0.204824	0.163721
Elp4	0.340167	0.163721
Snap25	0.388264	0.163721
Susd5	0.539571	0.163721
Gm10010	-0.457235	0.163717
2810013P06Rik	-0.283952	0.163717
Gm12350	-0.656505	0.163681
Rps8-ps2	-0.416038	0.163482
Il2rg	-0.269375	0.163482
Slc45a4	0.272356	0.163482
RP23-294I17.6	-0.40868	0.163463
Gm10101	-0.541045	0.163388
Fcgr4	0.382483	0.163388
Tmem61	-0.463254	0.163351
Ipo4	0.191311	0.163175
Wnk4	0.412123	0.163175
Cd200r1	-0.517097	0.163135
BC002163	-0.609022	0.163124
Apba2	-0.592604	0.162952
RP23-5C23.1	-0.428785	0.162952
Cul7	-0.407304	0.162952
Psat1	0.224157	0.162952
Gm20682	0.492275	0.162952
Dock5	-0.153936	0.16295
Gm26558	-0.482236	0.162933
Cand2	-0.43226	0.162933
Gemin6	0.508039	0.162933
Crkl	0.577023	0.162737
1810032O08Rik	-0.622509	0.162658
Pcdhb5	-0.534639	0.162658
Nob1	-0.472829	0.162658
Daw1	-0.428785	0.162658
Rangap1	0.164554	0.162658
Gm15133	0.475635	0.162658
Pnpla3	-0.627805	0.162581
RP24-546N2.1	-0.584538	0.162581
Mapk15	-0.573956	0.162581
Hcrtr1	-0.544617	0.162581
Elovl2	-0.523118	0.162581
Gm4705	-0.428785	0.162581
Gja6	-0.424017	0.162581
Shank1	-0.415661	0.162581
Glo1	-0.145985	0.162581
Ctss	-0.115294	0.162581
5-Mar	0.14087	0.162581
Clpx	0.216691	0.162581
Slc12a7	0.231502	0.162581
Txndc16	0.260564	0.162581
Hsd3b2	0.504645	0.162581
Serpinc1	0.51514	0.162581
Slc25a40	0.518116	0.162581
RP24-286H7.2	0.546353	0.162581
Gm5475	0.564816	0.162581
Gm25188	0.579645	0.162581
Arhgap19	0.585505	0.162581
Gm14057	0.589647	0.162581
RP24-372I24.2	-0.497876	0.162562
4833420G17Rik	-0.189331	0.162562
Kcns3	0.470878	0.162548
Gm7331	-0.715834	0.162387
Folr2	-0.699893	0.162387
Plxnb3	-0.579118	0.162387
Ttll11	-0.520396	0.162387
Gm1862	-0.46153	0.162387
Calca	-0.438096	0.162387
Pdx1	-0.428785	0.162387
Gm12582	-0.428785	0.162387
Gm6180	-0.405514	0.162387
Gm14372	-0.393107	0.162387
Ica1	-0.276163	0.162387
Cisd1	-0.126464	0.162387
Vamp3	0.141669	0.162387
Ccdc55	0.161277	0.162387
Idh3g	0.193057	0.162387
Styk1	0.193173	0.162387
Npm3	0.390688	0.162387
Fam184b	0.589626	0.162387
Csf2rb2	0.61046	0.162387
Gm4951	0.614549	0.162387
Gm13368	-0.421239	0.162324
Pafah1b3	-0.157336	0.162324
Seh1l	0.203453	0.16226
Ube2c	0.251813	0.162238
Prkx	0.260158	0.162238
Sh2d1b1	-0.549767	0.162201
P2rx1	-0.525162	0.162201
Gm26691	-0.468573	0.162201
Gm13743	-0.420102	0.162201
Gm25260	-0.411013	0.162201
Gm11688	-0.401869	0.162201
Hist1h4k	-0.400443	0.162201
Mrpl20	0.1715	0.162201
Stk38l	0.215666	0.162201
Hmmr	0.28133	0.162201
Ifit2	0.514179	0.162201
Pax6os1	-0.40868	0.162197
Gm5578	-0.428785	0.162126
Gm28496	-0.428785	0.162126
RP23-438M14.4	-0.415661	0.162126
Tex40	-0.40868	0.162126
Mcpt4	-0.40868	0.162126
Gm22634	-0.40868	0.162126
Fam131c	-0.408311	0.162126
AW822252	-0.394488	0.162126
Gmpr2	-0.334067	0.162126
Adh1	-0.326673	0.162126
Amica1	0.19273	0.162126
Myl12a	0.261672	0.162126
Hist1h1e	0.376608	0.162126
1700047M11Rik	0.449041	0.162126
Socs1	0.462159	0.162126
Pvrl3	0.115745	0.16196
Tescl	-0.415661	0.161806
Leng9	-0.204939	0.161664
Cpe	0.146604	0.161379
Grcc10	-0.63997	0.16123
Rsph3a	-0.59276	0.16123
Prph	-0.267679	0.161059
Mrap2	-0.494402	0.160989
Zfp574	-0.226642	0.1608
Fam26f	0.547898	0.1608
Rpl26-ps4	-0.686642	0.16051
Olfr165	-0.609554	0.16051
Mfng	-0.453021	0.16051
Nlrp10	-0.446706	0.16051
Tcrg-C2	-0.424017	0.16051
Gm22519	-0.415661	0.16051
Krt1	-0.411013	0.16051
Gm15612	-0.411013	0.16051
Fam124b	-0.402957	0.16051
Gm15063	-0.394488	0.16051
Gm5863	-0.378777	0.16051
Cep44	-0.317224	0.16051
Arsk	-0.264631	0.16051
Sdccag8	-0.200339	0.16051
Pigx	-0.176529	0.16051
Mep1a	-0.139816	0.16051
Hjurp	-0.13854	0.16051
Ppp2r5c	-0.129347	0.16051
Elovl5	-0.118166	0.16051
Dusp11	0.143712	0.16051
Rreb1	0.171577	0.16051
Agpat4	0.202177	0.16051
Usp37	0.22472	0.16051
Larp4	0.240285	0.16051
Ddx41	0.272778	0.16051
Tmem170	0.462715	0.16051
Tcf24	0.512935	0.16051
Fam161b	0.532684	0.16051
Gm26827	-0.405514	0.160352
4930426L09Rik	-0.583754	0.160314
Myo7a	0.229219	0.160314
Trpm2	0.289016	0.160314
Camp	-0.428785	0.160313
Optn	-0.177301	0.160313
Deaf1	-0.280493	0.16025
Tmem259	-0.217904	0.16025
Alkbh1	0.223139	0.16025
Tmem150cos	0.417469	0.160219
RP23-372I17.5	-0.524341	0.160083
Rps19-ps4	-0.394488	0.160083
Mterf4	-0.271261	0.160083
Mcee	-0.209645	0.160083
Mrpl37	-0.184169	0.160083
Kansl1	0.142527	0.160083
Sap30	0.540362	0.160083
Adora2a	0.557622	0.160083
Gm29375	-0.405514	0.160032
Gtf2h3	-0.40203	0.160032
Man1c1	-0.297037	0.160032
Anapc2	-0.216308	0.160032
Rnf103	-0.201882	0.160032
Ext1	-0.193531	0.160032
Mrps30	-0.159171	0.160032
Acox1	-0.143109	0.160032
Gatad1	0.157952	0.160032
Dcaf5	0.193579	0.160032
Ccng2	0.357958	0.160032
Gpc3	0.440756	0.160032
Mtrf1	0.576762	0.160032
Cpb1	-0.512604	0.159692
Smu1	-0.158423	0.159603
Gm15466	-0.47654	0.159591
Maml2	-0.303484	0.159525
Fbxl5	0.199959	0.159525
Spint2	0.305458	0.159525
Mmrn2	-0.226664	0.159453
Abhd13	-0.135561	0.159194
Gabra3	0.297951	0.159187
Ubn2	0.119822	0.159078
Por	-0.142569	0.159065
Sh3gl1	0.380026	0.158927
Gm15712	-0.45878	0.158886
Tssk1	-0.415661	0.158886
Gm13373	-0.415661	0.158886
Mir29a	-0.411013	0.158886
Gm22739	-0.40868	0.158886
Coro1b	-0.392947	0.158886
Plekhm2	-0.231713	0.158886
Zzef1	0.120244	0.158886
Tmem41b	0.175196	0.158886
Las1l	0.224489	0.158886
Alpk3	0.420632	0.158886
Phactr1	0.434547	0.158886
Ppp4r4	0.493902	0.158886
5330434G04Rik	0.526043	0.158886
D430040D24Rik	0.599347	0.158886
A530054K11Rik	-0.370372	0.158328
Gnb1l	0.409425	0.158328
Arsi	-0.648073	0.158228
Aqp9	-0.527203	0.158228
Rps13-ps5	-0.495896	0.158228
Kif17	-0.446484	0.158228
Smim1	-0.410297	0.158228
Mterf2	-0.406687	0.158228
Atp2a1	-0.402957	0.158228
Klf15	-0.394171	0.158228
Pcbp4	-0.354874	0.158228
Adam11	-0.338482	0.158228
Sufu	-0.287908	0.158228
Ncln	-0.179662	0.158228
D10Jhu81e	-0.163	0.158228
Mrfap1	-0.144033	0.158228
Kdm4c	0.354432	0.158228
1700009P17Rik	0.519573	0.158228
Cd163l1	0.559722	0.158228
Glis1	-0.578269	0.158061
Unc45b	-0.459979	0.158061
A630014C17Rik	-0.415929	0.158061
Urb1	0.448324	0.158012
Srrm4	0.550068	0.158012
9130017K11Rik	-0.240276	0.157789
Polr3d	0.237191	0.157789
Gm20069	0.488243	0.157789
Rps15a-ps3	-0.65643	0.157724
Gm24265	-0.556447	0.157459
Ildr2	-0.528399	0.157459
Zfp9	-0.443224	0.157459
Oas1e	-0.420738	0.157459
Il31ra	-0.411013	0.157459
4930429F24Rik	-0.394488	0.157459
Dapk2	-0.31153	0.157459
Itgb5	-0.189091	0.157459
Nostrin	-0.141285	0.157459
Tbk1	0.171036	0.157459
Fundc2	0.176058	0.157459
Ubiad1	0.304003	0.157459
1110004E09Rik	0.32138	0.157459
Dnah5	0.537872	0.157459
Fabp12	-0.390804	0.157419
Csde1	0.099402	0.157388
3110053B16Rik	-0.47886	0.157358
Ydjc	-0.170169	0.157155
Kif15	0.193568	0.157124
Cyp2f2	-0.643151	0.156895
Asic4	-0.534188	0.156863
Cdkn2c	-0.361808	0.156863
Itpripl1	-0.231201	0.156863
Smim22	-0.166701	0.156863
Scyl2	0.158989	0.156863
Rbm4	0.303065	0.156737
S1pr4	-0.625604	0.156662
Trmt112	-0.322029	0.156662
Emc7	-0.184419	0.15654
1700017B05Rik	0.215845	0.156481
Gpr34	-0.552855	0.156388
Iapp	-0.533983	0.156388
Gm26826	-0.507954	0.156388
Got1l1	-0.488072	0.156388
Podxl	-0.196968	0.156388
Mrpl3	0.238978	0.156388
Xlr4a	0.468975	0.156388
Alpl	-0.580476	0.156224
Tcaim	0.259775	0.156224
RP23-377G8.4	0.402573	0.156224
Gm13092	0.728184	0.156224
Zfp248	-0.626719	0.156084
RP24-308L17.2	-0.529166	0.156084
RP23-128G10.6	-0.337134	0.156084
Tmem38a	-0.307236	0.156084
Slc35a4	-0.220588	0.156084
Aunip	0.433192	0.156084
Gm26944	0.539436	0.156084
Tshr	-0.607215	0.156079
Cnga1	-0.415661	0.156079
RP24-142E6.5	-0.492073	0.155972
Ap2s1	-0.224171	0.155918
Fam150a	-0.411013	0.155821
Ass1	-0.332947	0.155821
Prelp	0.176731	0.155821
Nap1l2	-0.404551	0.155785
H2-M9	-0.574192	0.155712
Ascl1	-0.410675	0.155712
Hhipl2	-0.403291	0.155712
Gm26723	-0.902931	0.15567
Gm5150	-0.590281	0.15567
B130024G19Rik	-0.561025	0.15567
Slc36a2	-0.552803	0.15567
Ppp1r37	-0.539232	0.15567
Cd209e	-0.527563	0.15567
Gm28512	-0.523606	0.15567
RP23-218F13.4	-0.520465	0.15567
Gm26563	-0.513989	0.15567
Gm24009	-0.504894	0.15567
Gm12174	-0.484404	0.15567
RP23-206J9.6	-0.478981	0.15567
Gm10232	-0.47886	0.15567
Gpr132	-0.476063	0.15567
Zfp74	-0.457232	0.15567
Gm14328	-0.442814	0.15567
Gstm7	-0.438726	0.15567
Nme3	-0.428785	0.15567
Gm22442	-0.428785	0.15567
Dtnbos	-0.428785	0.15567
Kdm6bos	-0.424215	0.15567
Itgbl1	-0.420235	0.15567
Kcnd3os	-0.415661	0.15567
Gm16008	-0.415661	0.15567
Ccdc155	-0.411013	0.15567
Adam2	-0.41006	0.15567
Gm7502	-0.40868	0.15567
Slc6a1	-0.406705	0.15567
Gm24698	-0.402957	0.15567
Gm26724	-0.402957	0.15567
Tekt4	-0.394488	0.15567
Gata1	-0.394488	0.15567
Gm15789	-0.391637	0.15567
Slc22a3	-0.381537	0.15567
Calhm2	-0.332737	0.15567
Fam171b	-0.310133	0.15567
Csf2ra	-0.291702	0.15567
Ptrhd1	-0.211796	0.15567
Kctd9	-0.200578	0.15567
Smg5	-0.192727	0.15567
Atp6v1f	-0.182384	0.15567
Arhgap17	-0.163938	0.15567
Sar1a	-0.130864	0.15567
Helz	-0.120431	0.15567
Atp5a1	0.098922	0.15567
Uso1	0.134744	0.15567
Sf3a1	0.142664	0.15567
Uba2	0.173883	0.15567
5730559C18Rik	0.17742	0.15567
Smoc2	0.177827	0.15567
Cast	0.18345	0.15567
2510003E04Rik	0.219182	0.15567
Unc93b1	0.324571	0.15567
Rcc1	0.328789	0.15567
Uchl3	0.341707	0.15567
Bco2	0.343261	0.15567
Mettl13	0.34979	0.15567
Gm9776	0.384929	0.15567
Zfp367	0.387789	0.15567
Cebpe	0.417235	0.15567
Tnfaip3	0.446937	0.15567
2810408I11Rik	0.592686	0.15567
Dimt1	0.609145	0.15567
Gm14822	-0.627886	0.15558
Enpp5	-0.249988	0.155578
Pdcd4	0.11745	0.155445
Itsn2	0.189427	0.155445
1110065P20Rik	-0.202022	0.15535
Slc15a2	-0.91861	0.155095
mt-Atp6	-0.578969	0.155095
Gm28323	-0.537471	0.155095
Gm20518	-0.493171	0.155095
C030010L15Rik	-0.486664	0.155095
Nmnat2	-0.455801	0.155095
Gm15032	-0.428785	0.155095
Wnt7b	-0.394488	0.155095
5830444B04Rik	-0.393242	0.155095
Nags	-0.219159	0.155095
Cep57	-0.177104	0.155095
Pard3	-0.174821	0.155095
Sbds	0.206613	0.155095
Parp10	0.269732	0.155095
Gli3	0.528075	0.155095
Gm24876	0.52977	0.155095
RP23-461P14.4	-0.405514	0.154939
Osbp	0.243858	0.154939
Trip13	0.249507	0.154939
Tomm5	0.537244	0.154939
Gm10614	-0.600494	0.154936
Il2ra	-0.500281	0.154936
Cracr2a	-0.487324	0.154936
Opn4	-0.443254	0.154936
Gstp1	-0.434902	0.154936
Gm6877	-0.415661	0.154936
Spem1	-0.402957	0.154936
Gm12551	-0.394488	0.154936
Sirpb1b	-0.384408	0.154936
1700049G17Rik	-0.330464	0.154936
Bst1	-0.301111	0.154936
Yipf3	-0.273287	0.154936
Tlcd2	-0.22359	0.154936
Ergic3	-0.219157	0.154936
Dnmt1	0.140824	0.154936
Sipa1l2	0.201163	0.154936
Psmd5	0.240892	0.154936
Notch1	0.269263	0.154936
Clip4	0.325704	0.154936
Gm15859	0.47017	0.154936
Pkhd1	-0.596797	0.1549
Hist1h4h	-0.476208	0.1549
Jup	-0.242838	0.1549
Tmem45b	-0.127594	0.1549
Frrs1	0.160966	0.1549
Ptprb	0.179194	0.1549
Parp2	0.231181	0.1549
Igf2r	0.267071	0.1549
9430020K01Rik	0.346566	0.1549
RP23-264F2.1	0.39106	0.1549
Lmtk2	0.41244	0.1549
RP23-14P23.9	0.55998	0.1549
Pcgf1	0.56741	0.1549
Onecut3	-0.394488	0.154858
Polr3a	-0.239066	0.154632
C430049B03Rik	0.528558	0.154632
Stab2	-0.566836	0.15462
1110019D14Rik	-0.483932	0.15462
Lcmt2	-0.300587	0.15462
Man2b1	-0.186846	0.15462
Gtf2i	-0.128283	0.15462
Il10rb	0.136954	0.15462
Noc2l	0.231796	0.15462
Fbxl17	0.2375	0.15462
Vars	0.240976	0.15462
Nav1	0.558139	0.15462
Smc2os	0.605215	0.15462
RP23-293I7.4	-0.552064	0.154502
Gm12967	-0.465832	0.154502
Chchd5	-0.220685	0.154502
Slc24a3	-0.210023	0.15433
H2-T23	-0.539957	0.154248
Gm5575	-0.518073	0.154248
Gm27217	-0.507882	0.154248
RP23-26I10.1	-0.484459	0.154248
Snord45b	-0.415661	0.154248
Cpne6	-0.412316	0.154248
Gm28151	-0.373875	0.154248
2610528A11Rik	-0.345925	0.154248
Ifnar1	-0.305886	0.154248
Nrd1	-0.198818	0.154248
Ppargc1b	0.176237	0.154248
Slc5a7	0.514867	0.154248
Prap1	-0.17211	0.154107
Mea1	-0.222423	0.154045
C7	-0.506764	0.154023
Btnl2	0.392552	0.154023
Krt17	0.574431	0.154014
Zfp418	-0.588054	0.153946
Vps8	-0.360525	0.153946
Nsmf	0.253009	0.153936
Asxl3	-0.540972	0.153869
Kl	-0.394488	0.153869
Rpl17	-0.167918	0.153869
Whsc1	0.143738	0.153869
Stx4a	0.189721	0.153869
Slc41a1	0.362445	0.153869
Slit1	-0.415661	0.153753
Sbk2	-0.415661	0.153753
Zfp870	-0.279622	0.153753
Pgm1	0.265739	0.153753
D10Wsu102e	-0.173854	0.153607
Colq	-0.588115	0.153477
Msln	-0.498971	0.153477
Gm29228	-0.494765	0.153477
Gm5908	-0.433597	0.153477
Spink5	-0.402957	0.153477
2310009B15Rik	-0.334719	0.153477
Col15a1	-0.236014	0.153477
Coa7	-0.2093	0.153477
Ddah1	-0.169252	0.153477
Pik3ca	0.149185	0.153477
Elavl1	0.200081	0.153477
Rps19bp1	0.200375	0.153477
Zfp507	0.348811	0.153477
Reep2	0.53676	0.153477
Ly96	-0.459577	0.15317
Mok	-0.424017	0.15317
Pnpla8	0.186303	0.15317
Fbxl18	-0.171008	0.153167
Gm11665	-0.424017	0.153107
Gm2895	-0.415661	0.153107
Nhlrc1	-0.409383	0.153107
Sult1c2	-0.402449	0.153107
Gab2	-0.146564	0.153107
Fem1a	0.14622	0.153107
Taf7	0.315085	0.153107
Ptgfr	0.500488	0.153107
Plcl2	-0.18143	0.152964
Abhd11os	-0.151068	0.152751
F630028O10Rik	0.576227	0.152751
Mpv17l	0.390474	0.152638
Serpina3m	-0.405514	0.152632
Sfi1	-0.487837	0.152588
Fxyd7	-0.600058	0.152408
Gm17115	-0.55012	0.152408
Gm15634	-0.516246	0.152408
Tnnc2	-0.470083	0.152408
Zfp57	-0.454134	0.152408
Gm12096	-0.373468	0.152408
Ccdc28b	-0.269932	0.152408
