ACCESSION,DESCRIPTION,NORM_INTENSITY_1,NORM_INTENSITY_2,NORM_INTENSITY_3,NORM_INTENSITY_4,NORM_INTENSITY_5,NORM_INTENSITY_6,NORM_INTENSITY_7,NORM_INTENSITY_8,NORM_INTENSITY_9,NORM_INTENSITY_10,NORM_INTENSITY_11,NORM_INTENSITY_12,NORM_INTENSITY_13,NORM_INTENSITY_14,NORM_INTENSITY_15,NORM_INTENSITY_16,NORM_INTENSITY_17
A0A286YCZ0,Retinal dehydrogenase 1 (Fragment) OS=Mus musculus OX=10090 GN=Aldh1a1 PE=1 SV=1 ,366559752,266748205,285653186,310994389,203909965,427139090,202780118,161543235,212406364,210586915,48544848,199388637,139146722,33517656,185856373,147830772,205847428
P10639,Thioredoxin OS=Mus musculus OX=10090 GN=Txn PE=1 SV=3 ,697874419,772310189,806276059,414097366,925184206,834220527,346694206,438627895,322580516,511517593,64874629,257297540,241958922,145099663,243985677,114968346,477741083
P55292,Desmocollin-2 OS=Mus musculus OX=10090 GN=Dsc2 PE=1 SV=1 ,113782932,189727621,128920613,203895620,214573610,150904742,253879468,220047369,262711646,174290149,113473725,150521716,165522755,76957018,191842139,304884337,231779015
A0A0A0MQM0,Eukaryotic translation initiation factor 5A (Fragment) OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=1 ,44148489,25342090,95266892,65265465,50531575,54644452,32680038,56568062,59482432,32723359,38349876,54490093,20919130,29170397,24579595,52314786,56957294
P59644,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A OS=Mus musculus OX=10090 GN=Inpp5j PE=1 SV=2 ",1724397,1117100,7442233,3894433,19893,25289,17984,2577742,52921789,1038694,19768862,2211838,66187122,122765256,81582856,1005309,1655158
F8WGL3,Cofilin-1 OS=Mus musculus OX=10090 GN=Cfl1 PE=1 SV=1 ,450596072,131517108,486065166,351994148,425359299,582918643,424518311,318059119,397332008,173880488,791884090,226428683,420986208,427588767,248949175,253376691,387843685
Q920E5,Farnesyl pyrophosphate synthase OS=Mus musculus OX=10090 GN=Fdps PE=1 SV=1 ,48456334,58657326,49408888,54817075,76294452,40790497,66173511,30214236,46759321,17401225,74154446,62986281,44056851,67744131,66933847,94430559,32479035
P10630,Eukaryotic initiation factor 4A-II OS=Mus musculus OX=10090 GN=Eif4a2 PE=1 SV=2 ,62335927,52652030,92763183,31073140,37076954,85567842,37901907,35845260,46578072,27405898,21306104,47275631,45131109,133782789,36007282,38861054,66891177
P61922,"4-aminobutyrate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Abat PE=1 SV=1 ",114960713,40761519,45113046,90670232,164243787,92548969,122618792,56211936,111325752,145421958,44948597,105233921,72154295,67269566,70723210,71937505,181517255
Q63836,Selenium-binding protein 2 OS=Mus musculus OX=10090 GN=Selenbp2 PE=1 SV=2 ,3974755028,4689370556,4109635986,3078854918,1573363022,4162925625,2402251146,3057825111,1818204036,3345375692,1782096403,2608705195,1104906045,578126712,824658100,1066092577,2685724253
contaminant_PIGR_RAT,owl|P15083| POLYMERIC-IMMUNOGLOBULIN RECEPTOR PRECURSOR (PLGR) (CONTAINS:... ,659197942,1334296232,713097170,921828433,769246740,594190977,1211453593,457454222,1568998834,767136479,488801972,965998007,1146927506,638308240,1095967552,1142070464,548034742
G3UZD3,Ras-related protein Rab-11B OS=Mus musculus OX=10090 GN=Rab11b PE=1 SV=1 ,54344590,58070903,28767400,44381991,62114655,45900487,58289315,43168567,58084633,55853195,520154145,99118564,754807080,1164956202,582120468,496586403,142515862
D3YYZ2,MCG1031578 OS=Mus musculus OX=10090 GN=Gm5239 PE=1 SV=1 ,396412950,373559782,316505306,146896766,47682509,262784886,70278558,302644418,93285953,325441530,246307787,277943686,73304645,115339682,63765248,24228467,224149146
P56376,Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2 ,3516111,89279615,73697296,136432134,14661973,3288149,3124213,38304660,29377190,3651632,12421969,6525180,57839621,11444621,152968307,194030715,5040241
Q3UEE2,Glutathione synthetase OS=Mus musculus OX=10090 GN=Gss PE=1 SV=1 ,181398374,126519749,164195518,179429547,188274122,196386568,279738608,157364076,177727322,235151684,214393744,302432491,223717596,301216685,202723578,322080853,260577483
Q61656,Probable ATP-dependent RNA helicase DDX5 OS=Mus musculus OX=10090 GN=Ddx5 PE=1 SV=2 ,13251554,21758780,16871774,22475242,42540286,25015972,12958198,23941466,15573171,21063721,37188112,14455716,31384416,27783652,17234953,55582018,10048303
A0A1L1SUK3,40S ribosomal protein SA OS=Mus musculus OX=10090 GN=Rpsa PE=1 SV=1 ,13918194,7388141,9793525,7645427,8776516,21699185,10275225,3188754,8189843,11428104,1048862,4008014,1998575,522401,5088705,5266246,9908503
A0A0G2JEU7,Immunoglobulin heavy variable 1-82 (Fragment) OS=Mus musculus OX=10090 GN=Ighv1-82 PE=1 SV=1 ,59194084,52410605,54621450,57134434,166001901,54755553,56692774,62015279,65878748,62154585,46316547,81662893,161279987,312066265,130830620,52702182,64031563
A2BHD2,Predicted gene 14743 OS=Mus musculus OX=10090 GN=Gm14743 PE=3 SV=1 ,674217936,763578576,535586533,732738184,210360562,437827334,431434451,1050699962,675953011,183063598,378136235,223208917,270469008,376733708,491540156,198742686,524277621
A0A0G2JEU1,"Aldehyde dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Aldh2 PE=1 SV=1 ",1357997232,282333523,630451502,673619491,1895738680,406910447,640419771,299462742,783633835,712237179,5006171298,1396487466,2366672592,868592189,1033625422,2270903139,620531123
A0A0G2JF60,"Aldehyde dehydrogenase, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Aldh2 PE=1 SV=1 ",1080466580,50908511,97596475,78996275,1203496129,130693991,57206980,55231660,89555214,223961003,126278165,118983660,1737535813,30208990,713456723,1455757703,67775204
Q6AXF6,SID1 transmembrane family member 1 OS=Mus musculus OX=10090 GN=Sidt1 PE=1 SV=1 ,70481092,30140721,44331541,39592976,33707008,58794586,67694932,41435702,55274474,28498607,143892,39613112,6570839,483294,595283,13934738,70163339
Q8BTZ7,Mannose-1-phosphate guanyltransferase beta OS=Mus musculus OX=10090 GN=Gmppb PE=1 SV=1 ,27427649,21282561,24739541,41280023,56451585,22427630,18797572,10523538,130403830,36789797,222674357,42752358,23621307,24337784,68202175,51648127,17633727
Q91V12,Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus OX=10090 GN=Acot7 PE=1 SV=2 ,80944400,50621249,86485185,64948783,111165053,91219452,190497536,61648056,141286425,67261989,33865025,60767648,112588268,51465291,120900651,173487392,43045289
O08601,Microsomal triglyceride transfer protein large subunit OS=Mus musculus OX=10090 GN=Mttp PE=1 SV=2 ,3060678,14841672,3959819,6783803,18588521,6853147,3271864,5416355,5731214,23392499,8846431,15424216,37772806,18649142,30093647,36125661,11442701
Q8K183,Pyridoxal kinase OS=Mus musculus OX=10090 GN=Pdxk PE=1 SV=1 ,226990107,72265682,51491832,120952011,217599170,30364736,147017249,126513860,125311478,175120211,47912345,86214426,65588006,70801174,48255701,92450030,123783204
A0A0N4SUX5,Gamma-enolase OS=Mus musculus OX=10090 GN=Eno2 PE=1 SV=1 ,127518997,87803393,120815844,98729463,113260729,172916584,64695127,85424866,80848605,81378809,32265187,50266048,238484673,146946710,128086736,258896142,120992154
Q8CC47,N-acetylgalactosamine-6-sulfatase OS=Mus musculus OX=10090 GN=Galns PE=1 SV=1 ,106653537,53598450,99120082,119151568,199890767,95261809,125237003,73987000,34973497,81370597,453307599,94547592,1369662161,3819770916,792943087,454515304,168452166
Q4QY64,ATPase family AAA domain-containing protein 5 OS=Mus musculus OX=10090 GN=Atad5 PE=1 SV=1 ,55541290,53471466,61529228,47563954,2613214,61440118,27985801,63623743,1856280,46535373,17660621,15695984,169741374,14676793,42354556,175257341,47815342
A0A3B2WBL1,Ribosomal protein OS=Mus musculus OX=10090 GN=Rpl10a PE=1 SV=1 ,94567876,87846091,80731519,67284906,117959400,98291767,61051150,56687204,126074545,83935007,123302395,69018377,314996103,146844617,144939797,125643411,47095106
A0A087WS56,Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1 ,3764636,4142688,1799499,1357867,4836828,2190613,2573927,1145823,6246416,2828656,8101798,1783270,2994042,10855518,10181306,33919352,3416648
Q811I1,Desmoglein-2 OS=Mus musculus OX=10090 GN=Dsg2 PE=1 SV=1 ,26674872,24075881,19003597,17985639,39592888,21594462,19969817,15777969,12307518,15158052,27935701,9573522,55883674,36913577,87129056,59842201,17989920
A0A087WRT4,FAT atypical cadherin 1 OS=Mus musculus OX=10090 GN=Fat1 PE=1 SV=2 ,12259734,19143135,7566070,31435871,22827361,9663158,8720706,2105654,7354023,14835453,28025437,32922476,55034908,24635395,54546975,66093668,33725758
Q8BTY5,Proteasome subunit beta type-5 OS=Mus musculus OX=10090 GN=Psmb5 PE=1 SV=1 ,49884424,75397259,62365391,49117999,63839199,68177925,60732971,48353237,64415481,59991473,40250516,46332052,122720611,229456077,126935466,118917337,42482034
Q99PL5,Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=2 ,10271015,941695,1760439,2766902,4917640,5527531,10402053,2599189,3664175,370315,1,56990,26426049,1278444,3899691,49659357,44280
E9Q606,"Actin, cytoplasmic 1 (Fragment) OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1 ",4391107399,1158251815,5677899228,691514472,1313509011,5809959120,2339131318,3828234687,2094907625,2002945848,169259477,511011234,1138784923,585517706,599629943,460538686,3929327995
P06151,L-lactate dehydrogenase A chain OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=3 ,1554304287,1710949726,1645594261,1302636745,1189355125,1987625550,3111137624,1331699771,1043351178,1267585734,4353031723,1187576789,1438841255,4710084057,2276006626,932134231,1237032620
A0A0N4SV85,"Prolactin induced protein, isoform CRA_a OS=Mus musculus OX=10090 GN=Pip PE=4 SV=1 ",143401700,112110477,99575591,354298143,245920057,158593979,250482581,238608071,444393358,407536070,203153357,441438672,308268599,436917420,917017712,696965837,111246249
P05064,Fructose-bisphosphate aldolase A OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=2 ,1750577772,1705463660,1656480381,1299545607,886970770,2159291887,1027181498,1471977345,942775049,1482965031,873425438,1071339435,787980201,988771357,756426885,751977961,1116247080
P05063,Fructose-bisphosphate aldolase C OS=Mus musculus OX=10090 GN=Aldoc PE=1 SV=4 ,263902458,258669340,213622902,188783467,96305832,305172865,190523556,184034717,60995712,214135266,18507388,182799881,86957569,39262951,45348761,69204058,175130523
H3BKI8,Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=1 ,35046553,11758950,38919368,56405871,38246779,56046740,15040115,78724596,42344750,23577756,106831342,14788553,14600240,36351083,120381267,47670593,27923155
P01942,Hemoglobin subunit alpha OS=Mus musculus OX=10090 GN=Hba PE=1 SV=2 ,9231215165,3806037997,14397103447,1611530417,7361211879,3388415502,3759813865,8064276790,3410371878,8029102080,547553631,922493972,2566019510,3468011881,1313607383,3377691271,14130609105
A0A0G2JF45,Immunoglobulin kappa variable 14-130 (Fragment) OS=Mus musculus OX=10090 GN=Igkv14-130 PE=4 SV=4 ,8704818,4517720,14213216,9963510,41402968,8580060,24054762,6783230,14344304,10668406,1616793,9919322,98789575,58241121,55560991,98881284,20450409
Q8R1A8,"Ornithine carbamoyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Otc PE=1 SV=1 ",26791247,29429928,39711019,43349708,62189936,16810318,59842084,36536550,105895491,29476344,52177886,14963667,60615012,22770158,44868746,20876505,24212497
A0A0G2JES3,60S ribosomal protein L9 (Fragment) OS=Mus musculus OX=10090 GN=Rpl9 PE=1 SV=1 ,15412754,17668210,17918765,9793525,16482722,21764499,11350747,15390272,14931158,16133522,24820328,34758194,64037152,49636624,60308130,84217503,8847322
P55264,Adenosine kinase OS=Mus musculus OX=10090 GN=Adk PE=1 SV=2 ,1691806055,948080120,479666778,938980589,527992390,348355756,423487877,244620632,499300529,410288372,299729615,993859990,231938176,179120488,504899943,269514050,1262525432
P09411,Phosphoglycerate kinase 1 OS=Mus musculus OX=10090 GN=Pgk1 PE=1 SV=4 ,2097179566,2673651117,761308687,688064687,534855616,946736736,811491746,451861120,641065505,1747716362,205462115,1413691176,401376994,464488889,383771399,523981985,716769255
A0A2I3BQH2,"Predicted gene, 49342 (Fragment) OS=Mus musculus OX=10090 GN=Gm49342 PE=1 SV=1 ",83785518,85139421,122480384,87346795,45373483,145200513,64942383,65738305,42738829,67801267,16614395,48135204,69887459,20238978,21191514,43755723,76562538
P10605,Cathepsin B OS=Mus musculus OX=10090 GN=Ctsb PE=1 SV=2 ,279356548,312529955,206066942,240813998,528384546,201121315,345285249,270104553,372152289,298574404,483483909,427928915,235574893,556581988,238486736,362236958,335084945
P48774,Glutathione S-transferase Mu 5 OS=Mus musculus OX=10090 GN=Gstm5 PE=1 SV=1 ,124438585,158225548,139717758,169786117,145453327,154789572,111597168,202271986,133696161,153717883,101765732,179105541,85990822,69260854,97950600,77508085,127728957
A0A087WRS9,Isocitrate dehydrogenase [NADP] cytoplasmic (Fragment) OS=Mus musculus OX=10090 GN=Idh1 PE=1 SV=1 ,1409034848,1347468268,293688241,133859998,1739238416,345111670,1787507885,152359823,142222836,1478345505,2198253372,1645443632,134033068,2025866949,1915147021,1409495719,1731759874
Q6AXD2,Abi2 protein OS=Mus musculus OX=10090 GN=Abi2 PE=1 SV=1 ,6975857,8413830,5974598,8732611,12211679,6839047,633618,578252,7484679,25897598,3590404,21510635,4614267,5552674,8777434,16805180,24364253
D3Z4K7,Ubiquitin carboxyl-terminal hydrolase 5 (Fragment) OS=Mus musculus OX=10090 GN=Usp5 PE=1 SV=8 ,6320796,1985059,4372892,709410,2081493,4883804,686298,1733291,990855,2813004,1092506,2418954,706703,721494,894410,440843,4135461
A0A087WS46,Eukaryotic translation elongation factor 1 beta 2 OS=Mus musculus OX=10090 GN=Eef1b2 PE=1 SV=1 ,1807364156,2104295687,1351351677,2431416233,1590566965,1158712854,1719900401,1342466750,1291336370,2231491234,8311735,2512869454,12396364,22357912,65340425,50602389,1527640496
A0A087WRS3,Abl interactor 2 OS=Mus musculus OX=10090 GN=Abi2 PE=1 SV=1 ,6975857,8413830,5974598,8732611,12211679,6839047,633618,578252,7484679,25897598,3590404,21510635,4614267,5552674,8777434,16805180,24364253
A0A0N4SUV7,Deoxyribose-phosphate aldolase (Fragment) OS=Mus musculus OX=10090 GN=Dera PE=1 SV=1 ,33726418,28385720,31003241,61737936,11999259,7956839,32455130,46805708,18379907,55111282,14973634,32105346,12509222,7216639,70428396,164491907,27936289
Q9DAK9,14 kDa phosphohistidine phosphatase OS=Mus musculus OX=10090 GN=Phpt1 PE=1 SV=1 ,18601216,21530303,15877047,20893617,25158930,16948644,13786613,14684023,11670246,17806660,119787367,17670894,18798934,131185154,56901254,12495184,16146339
A0A286YCV9,Kinesin family member 13B OS=Mus musculus OX=10090 GN=Kif13b PE=1 SV=1 ,71957643,19184307,86167165,14820566,42463675,99016289,50602982,32831628,37388163,16121018,5277038,20791286,16150995,4343986,18436833,13472338,44415767
A0A0A0MQI9,F-actin-capping protein subunit beta (Fragment) OS=Mus musculus OX=10090 GN=Capzb PE=1 SV=6 ,53581096,75060931,55313173,25139939,15734437,67572667,16644936,39150771,18300285,73046446,20819843,37656498,14474696,18861408,141906086,13532644,37167415
Q61625,"Glutamate receptor ionotropic, delta-2 OS=Mus musculus OX=10090 GN=Grid2 PE=1 SV=1 ",25710655,19370789,45082212,43849620,28885834,20126518,37551005,28318930,23490885,22152855,45137941,12311116,28826403,20096464,12554140,24795550,15364898
P55258,Ras-related protein Rab-8A OS=Mus musculus OX=10090 GN=Rab8a PE=1 SV=2 ,2022375,5245893,1266665,2375273,1494873,3379816,4321241,2144281,1406457,3708012,40754624,6895894,33488618,252983275,485475284,42654819,2002243
contaminant_GR78_KLULA,owl|P22010| 78 KD GLUCOSE REGULATED PROTEIN HOMOLOG PRECURSOR (GRP 78) (IMMUNOGLOBULIN... ,22374455,22322949,16476708,46205698,14076080,34738124,5046496,16380367,4862642,71161876,11469575,78300694,4952647,4077157,4345334,9218028,23096958
P09405,Nucleolin OS=Mus musculus OX=10090 GN=Ncl PE=1 SV=2 ,5662982,3608348,2896129,799609,4845183,3101314,2934707,2561554,1827403,2528759,482653,1731718,495967,218193,376692,351447,2858543
P26369,Splicing factor U2AF 65 kDa subunit OS=Mus musculus OX=10090 GN=U2af2 PE=1 SV=3 ,2697333,12338810,17407180,18124080,31739804,13264375,41230536,10533909,17958592,4661691,854987,7147011,9440203,2242033,7472062,18733964,12634643
H3BKH6,S-formylglutathione hydrolase OS=Mus musculus OX=10090 GN=Esd PE=1 SV=1 ,2616280628,2642568665,1766502569,2627632265,2330458241,1573864196,2170359483,4336462159,1770290892,3316685390,104655415,3910490323,361702105,293159734,262795032,377236881,2351552573
H3BKH4,Glutathione synthetase (Fragment) OS=Mus musculus OX=10090 GN=Gss PE=1 SV=1 ,111401083,71070538,97817086,107224138,152064795,122229750,205851321,103981771,151079951,190094963,121854641,233297665,104367067,214585718,117616354,182323630,192056188
D6RFD7,"Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadm PE=1 SV=1 ",76056557,86126193,62123324,75039597,82238496,42915355,71835892,115921305,87397332,167752859,40386857,79780031,59233248,30153636,101920153,88071274,77377067
D3YYV8,60S ribosomal protein L5 (Fragment) OS=Mus musculus OX=10090 GN=Rpl5 PE=1 SV=1 ,55304171,44918905,48709425,64951694,55376526,62140337,44024273,54175084,45856667,55980962,153316451,109490196,52495382,230024367,132998074,112234620,35154366
A0A087WS31,Aspartyl aminopeptidase (Fragment) OS=Mus musculus OX=10090 GN=Dnpep PE=1 SV=1 ,738759453,672992332,752542311,620588845,738559541,621389752,623301519,333396964,664640000,518607540,866094554,678148212,896529315,812784597,792367588,956992994,811757344
Q8K157,Aldose 1-epimerase OS=Mus musculus OX=10090 GN=Galm PE=1 SV=1 ,67658634,86400004,44560598,95784541,31888144,67300436,141239016,22569274,56521427,41620328,26963830,97437651,18352977,62702926,75459603,103622719,62112145
Q5GLZ0,Cytochrome P450 2C66 OS=Mus musculus OX=10090 GN=Cyp2c66 PE=1 SV=1 ,6863656,2144613,3661805,3810977,4486471,5468243,730186,1543063,1687368,6658569,189168,3327594,2593093,3185009,2287418,1401076,2589306
P29621,Serine protease inhibitor A3C OS=Mus musculus OX=10090 GN=Serpina3c PE=2 SV=1 ,166389441,110857710,87832082,99761162,70125437,172430147,65738453,53285712,101304989,133707178,121602757,147652697,57358858,61163427,145694962,144260168,100972912
A0A0N4SV66,Histone H2A OS=Mus musculus OX=10090 GN=H2afj PE=1 SV=1 ,253265048,224788852,145787999,159113152,46943981,513804362,206281364,101325469,282841603,945306010,226235158,315506052,102791665,323317302,243812346,107092743,185724666
A0A0G2JF28,Immunoglobulin kappa chain variable 8-27 (Fragment) OS=Mus musculus OX=10090 GN=Igkv8-27 PE=4 SV=1 ,161906790,649977737,152361981,363363839,116145081,90683927,149005945,111354048,258994357,330736460,44423147,175432645,125567196,39427192,104858193,178332790,68477416
P01921,"H-2 class II histocompatibility antigen, A-D beta chain OS=Mus musculus OX=10090 GN=H2-Ab1 PE=1 SV=1 ",46799038,130918865,49538065,31727593,27523234,89658115,82638053,13261878,38747360,33649037,328659038,20203710,101000325,94466715,84197844,164107026,41846033
A0A2I3BQF4,60S ribosomal protein L30 OS=Mus musculus OX=10090 GN=Rpl30 PE=1 SV=1 ,40747246,43376757,43068068,58806084,100716659,62655295,57954698,34212225,49361079,49666271,6049924,31882982,24713747,38077165,18026101,33185790,32769256
A0A0G2JF23,Malate dehydrogenase (Fragment) OS=Mus musculus OX=10090 GN=Mdh2 PE=1 SV=1 ,45572932,35851444,96889978,53313708,52549062,147933232,37342189,51673986,18830384,202067916,71800391,43161857,39685699,32408564,60480608,85065955,50223099
H3BKG2,T-complex protein 1 subunit theta (Fragment) OS=Mus musculus OX=10090 GN=Cct8 PE=1 SV=1 ,4978496,8367128,11366545,10692090,31715129,10192351,6982754,9350898,17671191,20982164,48711984,30263721,119743876,34739797,133032153,124289946,25173404
P48758,Carbonyl reductase [NADPH] 1 OS=Mus musculus OX=10090 GN=Cbr1 PE=1 SV=3 ,453282506,399534744,602898759,423088601,441923283,707936267,260243745,434241402,261407682,314738156,142359155,183977226,185799138,200986491,323758797,263230628,455764473
H3BKG0,Caveolin-1 OS=Mus musculus OX=10090 GN=Cav1 PE=1 SV=1 ,4719665,4981761,18204203,39085975,2347884,10916594,2796060,10807710,7671711,1990540,32258913,2058886,125103034,1097092341,186682573,223330743,5413142
P26350,Prothymosin alpha OS=Mus musculus OX=10090 GN=Ptma PE=1 SV=2 ,793334,15198144,16492620,14813843,24343311,5926538,8243708,5091120,22360315,2128087,45314829,2716521,11183441,10130801,3030994,38446783,1151833
F8WGG3,"UPF0160 protein MYG1, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Myg1 PE=1 SV=1 ",3815683,3779598,4756753,2970639,9875299,8136377,6740941,2241388,8026963,3017201,335853,2654952,1441992,1088823,169059,2861733,8191863
Q60520,Paired amphipathic helix protein Sin3a OS=Mus musculus OX=10090 GN=Sin3a PE=1 SV=3 ,46672546,34813985,65203899,129790947,95187866,41672177,84485121,22121372,98682448,38679699,122854513,16648704,76617556,156572195,69454611,65506978,40869072
Q9CSP9,Tetratricopeptide repeat protein 14 OS=Mus musculus OX=10090 GN=Ttc14 PE=1 SV=2 ,91409525,65845947,101055317,22814347,23115677,104446798,35759059,127421827,101495056,44366862,34621143,11396532,98762385,45232756,32555646,73335357,69644542
Q78ZA7,Nucleosome assembly protein 1-like 4 OS=Mus musculus OX=10090 GN=Nap1l4 PE=1 SV=1 ,12165863,14458510,18054290,26949010,34610081,4351689,26458176,4888384,29696840,6710960,23150693,7220852,27617522,44899615,3981971,25976412,16463297
D3YZ68,Elongation factor 1-alpha 1 (Fragment) OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=1 ,18150896,22201163,82642227,30198553,59173981,43123778,43314603,36983687,32309498,23510155,225223172,17211598,58772258,163183116,51935515,84626240,22898007
Q80VR3,Sulfotransferase 1C1 OS=Mus musculus OX=10090 GN=Sult1c1 PE=1 SV=1 ,15206178,5273259,21827156,2643658,4929605,11502689,4125615,14822729,2724143,2462972,4545470,1202054,5736985,872684,18410523,7019292,14832554
Q76KJ5,DNA-directed RNA polymerase I subunit RPA34 OS=Mus musculus OX=10090 GN=Cd3eap PE=1 SV=2 ,48309018,26612028,15039765,8382378,23066220,8186600,7806232,16437734,4882652,21204220,49809662,9185303,20538136,19320914,57569283,38091946,32358822
A0A0N4SUT8,Deoxyribose-phosphate aldolase (Fragment) OS=Mus musculus OX=10090 GN=Dera PE=1 SV=1 ,33726418,28385720,31003241,61737936,11999259,7956839,32455130,46805708,18379907,55111282,14973634,32105346,12509222,7216639,70428396,164491907,27936289
A0A0N4SV57,Annexin (Fragment) OS=Mus musculus OX=10090 GN=Anxa4 PE=1 SV=1 ,375059563,179672264,123560865,419847009,428873029,219176304,572799028,140740513,446569660,243411401,166830951,243790315,1323306879,469415450,264370972,580415773,174575510
P97864,Caspase-7 OS=Mus musculus OX=10090 GN=Casp7 PE=1 SV=2 ,40029786,49124986,29335458,121330282,122528701,15041453,75553812,42335717,85499617,69763321,13871346,49813132,7767042,4054341,8686433,7150297,56865430
A0A1L1SUF6,60S ribosomal protein L14 (Fragment) OS=Mus musculus OX=10090 GN=Rpl14 PE=1 SV=1 ,36124700,28911578,32910190,16731413,20869204,39243490,19129560,14348696,10406340,36401637,17190473,25292315,38344221,22718971,5679300,24819467,16534350
A0A0G2JEP8,Rho-related GTP-binding protein RhoC (Fragment) OS=Mus musculus OX=10090 GN=Rhoc PE=1 SV=1 ,35536209,32536319,19051583,30235274,20132290,17343598,13459072,19388349,23794980,26053374,45989711,68330484,44040546,89463853,68774372,43694856,20787548
A0A2I3BQE3,Glucosamine 6-phosphate N-acetyltransferase (Fragment) OS=Mus musculus OX=10090 GN=Gnpnat1 PE=1 SV=1 ,8570648,15209897,17520430,10790005,3210153,34773832,4902229,9148523,5853923,23895186,103213686,9477338,49082073,59958510,4853081,4747142,16645285
A0A0A0MQG2,"Spectrin beta chain, non-erythrocytic 1 (Fragment) OS=Mus musculus OX=10090 GN=Sptbn1 PE=1 SV=1 ",228930719,271992701,396659608,610461522,720560130,196140829,726068574,384276195,1329611945,381432957,1503992345,378664121,892455730,2184249942,1011411848,1144051583,284258375
Q8BTU6,Eukaryotic initiation factor 4A-II OS=Mus musculus OX=10090 GN=Eif4a2 PE=1 SV=1 ,62335927,52652030,92763183,31073140,37076954,85567842,37901907,35845260,46578072,27405898,21306104,47275631,45131109,133782789,36007282,38861054,66891177
A0A087WS13,Mucin-2 (Fragment) OS=Mus musculus OX=10090 GN=Muc2 PE=1 SV=1 ,375544605,1415616746,312801154,428078683,662526029,248317753,344823066,1431902299,410549160,604010589,455922438,573666612,1244217972,1429720450,2147629037,1078339642,430597003
Q9QZQ8,Core histone macro-H2A.1 OS=Mus musculus OX=10090 GN=H2afy PE=1 SV=3 ,47172872,20461289,21201348,10243974,39774132,15176085,27161373,7977849,24951884,62427520,28357827,52138696,75326584,29390601,31262464,74646678,37538837
E9Q5K7,Uridine phosphorylase 1 (Fragment) OS=Mus musculus OX=10090 GN=Upp1 PE=1 SV=1 ,5911380,11079626,6798611,8710425,17134830,6847998,27547359,87328922,10091687,3799205,9918699,11042323,5643862,9089376,12708180,17524134,12467812
Q80W21,Glutathione S-transferase Mu 7 OS=Mus musculus OX=10090 GN=Gstm7 PE=1 SV=1 ,494837739,573703299,618778149,460431779,173938355,599201542,264383018,496204898,228082268,519165865,252046786,287070532,297414978,230294963,182048107,124410079,369043350
F6V7K3,Puromycin-sensitive aminopeptidase (Fragment) OS=Mus musculus OX=10090 GN=Npepps PE=1 SV=8 ,21249390,66938226,22326032,58351908,40498299,34581396,43793374,31300155,70880584,24472192,65149477,59368893,4259728,88367843,39662103,48372169,20958777
P18761,Carbonic anhydrase 6 OS=Mus musculus OX=10090 GN=Ca6 PE=1 SV=3 ,3371993530,2264403579,3510773304,1732323734,3698198845,1142629821,2789627874,2252911542,4196607925,3095704239,1678205514,1871912026,4182849594,2230590169,3009691629,1554315531,3904719053
P18760,Cofilin-1 OS=Mus musculus OX=10090 GN=Cfl1 PE=1 SV=3 ,450596072,131517108,486065166,351994148,425359299,582918643,424518311,318059119,397332008,173880488,791884090,226428683,420986208,427588767,248949175,253376691,387843685
P97855,Ras GTPase-activating protein-binding protein 1 OS=Mus musculus OX=10090 GN=G3bp1 PE=1 SV=1 ,8070655,1390341,9870411,1768240,10956593,12064031,2524161,3259660,40710869,3506259,7045933,8671184,1738719,247722,657374,1485912,8771652
F7BHJ0,Clathrin light chain (Fragment) OS=Mus musculus OX=10090 GN=Cltb PE=1 SV=1 ,178861176,154481747,9904452,81642957,83447514,62792218,78982408,121541904,97622876,104606770,228312485,92852652,95022052,57988767,115819188,268597382,156912408
A0A286YCS6,Adenylyl cyclase-associated protein OS=Mus musculus OX=10090 GN=Cap2 PE=1 SV=1 ,30472472,41262179,49307771,18260322,402189559,52435374,119120891,47988216,381620817,41742251,37641543,17413961,7302938,9216225,7970318,12133458,35961399
E9PZW0,Desmoplakin OS=Mus musculus OX=10090 GN=Dsp PE=1 SV=1 ,58122516,49281570,17882814,13421707,51663856,21524494,42454978,23310487,49506378,103154853,59481214,207338095,12387526,137957637,81167307,65739623,30592880
